,user_id,time,0,date,date_hms
35,115725,2022-01-14T17:12:47Z,2022-03-26 09:36:00,2022-01-14 00:00:00,2022-01-14 17:12:47
36,115725,2022-01-14T17:13:17Z,2022-03-28 01:55:12,2022-01-14 00:00:00,2022-01-14 17:13:17
69,112133,2022-01-14T20:50:24Z,2022-04-06 07:40:48,2022-01-14 00:00:00,2022-01-14 20:50:24
70,117502,2022-01-14T19:00:05Z,2022-03-25 13:26:24,2022-01-14 00:00:00,2022-01-14 19:00:05
48,116812,2022-01-14T19:43:23Z,2022-04-03 19:12:00,2022-01-14 00:00:00,2022-01-14 19:43:23
21,109742,2022-01-14T17:10:42Z,2022-03-28 22:04:48,2022-01-14 00:00:00,2022-01-14 17:10:42
40,112197,2022-01-14T22:49:12Z,2022-03-21 08:38:24,2022-01-14 00:00:00,2022-01-14 22:49:12
3,112076,2022-01-15T17:03:55Z,2022-04-06 07:40:48,2022-01-15 00:00:00,2022-01-15 17:03:55
55,114156,2022-01-15T07:06:01Z,2022-03-28 01:55:12,2022-01-15 00:00:00,2022-01-15 07:06:01
67,117938,2022-01-15T04:47:39Z,2022-04-03 19:12:00,2022-01-15 00:00:00,2022-01-15 04:47:39
68,107445,2022-01-15T01:25:07Z,2022-04-05 11:31:12,2022-01-15 00:00:00,2022-01-15 01:25:07
66,112705,2022-01-16T09:20:10Z,2022-03-28 22:04:48,2022-01-16 00:00:00,2022-01-16 09:20:10
5,112076,2022-01-16T09:03:11Z,2022-04-06 07:40:48,2022-01-16 00:00:00,2022-01-16 09:03:11
4,112076,2022-01-16T01:06:12Z,2022-04-06 07:40:48,2022-01-16 00:00:00,2022-01-16 01:06:12
6,112076,2022-01-17T17:04:50Z,2022-04-06 07:40:48,2022-01-17 00:00:00,2022-01-17 17:04:50
49,116812,2022-01-17T22:24:34Z,2022-04-04 15:21:36,2022-01-17 00:00:00,2022-01-17 22:24:34
57,114156,2022-01-17T16:15:46Z,2022-03-27 05:45:36,2022-01-17 00:00:00,2022-01-17 16:15:46
56,114156,2022-01-17T16:15:29Z,2022-03-27 05:45:36,2022-01-17 00:00:00,2022-01-17 16:15:29
64,119839,2022-01-17T12:24:45Z,2022-03-31 10:33:36,2022-01-17 00:00:00,2022-01-17 12:24:45
27,115375,2022-01-18T22:32:45Z,2022-04-02 02:52:48,2022-01-18 00:00:00,2022-01-18 22:32:45
22,109742,2022-01-18T17:32:26Z,2022-03-28 22:04:48,2022-01-18 00:00:00,2022-01-18 17:32:26
26,115375,2022-01-18T22:29:47Z,2022-04-02 02:52:48,2022-01-18 00:00:00,2022-01-18 22:29:47
7,112076,2022-01-18T01:10:22Z,2022-04-05 11:31:12,2022-01-18 00:00:00,2022-01-18 01:10:22
50,116812,2022-01-19T22:31:35Z,2022-04-04 15:21:36,2022-01-19 00:00:00,2022-01-19 22:31:35
23,109742,2022-01-20T16:20:08Z,2022-03-29 18:14:24,2022-01-20 00:00:00,2022-01-20 16:20:08
54,117580,2022-01-20T08:25:04Z,2022-04-02 02:52:48,2022-01-20 00:00:00,2022-01-20 08:25:04
58,114156,2022-01-20T18:10:47Z,2022-03-27 05:45:36,2022-01-20 00:00:00,2022-01-20 18:10:47
51,116812,2022-01-20T23:27:23Z,2022-04-04 15:21:36,2022-01-20 00:00:00,2022-01-20 23:27:23
8,112076,2022-01-21T00:59:12Z,2022-04-05 11:31:12,2022-01-21 00:00:00,2022-01-21 00:59:12
9,112076,2022-01-21T09:02:31Z,2022-04-06 07:40:48,2022-01-21 00:00:00,2022-01-21 09:02:31
10,112076,2022-01-21T17:04:01Z,2022-04-06 07:40:48,2022-01-21 00:00:00,2022-01-21 17:04:01
53,103734,2022-01-21T05:37:44Z,2022-04-03 19:12:00,2022-01-21 00:00:00,2022-01-21 05:37:44
59,114156,2022-01-21T16:04:30Z,2022-03-27 05:45:36,2022-01-21 00:00:00,2022-01-21 16:04:30
60,114156,2022-01-21T16:04:47Z,2022-03-27 05:45:36,2022-01-21 00:00:00,2022-01-21 16:04:47
52,116812,2022-01-22T23:23:15Z,2022-04-04 15:21:36,2022-01-22 00:00:00,2022-01-22 23:23:15
37,115725,2022-01-23T18:40:19Z,2022-04-01 06:43:12,2022-01-23 00:00:00,2022-01-23 18:40:19
46,119005,2022-01-23T17:52:56Z,2022-04-02 23:02:24,2022-01-23 00:00:00,2022-01-23 17:52:56
12,112076,2022-01-23T08:56:24Z,2022-04-06 07:40:48,2022-01-23 00:00:00,2022-01-23 08:56:24
11,112076,2022-01-23T01:05:20Z,2022-04-06 07:40:48,2022-01-23 00:00:00,2022-01-23 01:05:20
13,112076,2022-01-23T17:00:17Z,2022-04-05 11:31:12,2022-01-23 00:00:00,2022-01-23 17:00:17
28,115375,2022-01-23T21:21:32Z,2022-04-02 23:02:24,2022-01-23 00:00:00,2022-01-23 21:21:32
44,118777,2022-01-23T21:40:53Z,2022-04-03 19:12:00,2022-01-23 00:00:00,2022-01-23 21:40:53
62,114156,2022-01-24T18:01:39Z,2022-03-26 09:36:00,2022-01-24 00:00:00,2022-01-24 18:01:39
24,109742,2022-01-24T19:47:41Z,2022-04-01 06:43:12,2022-01-24 00:00:00,2022-01-24 19:47:41
61,114156,2022-01-24T18:01:00Z,2022-03-27 05:45:36,2022-01-24 00:00:00,2022-01-24 18:01:00
1,111805,2022-01-25T23:48:30Z,2022-04-02 02:52:48,2022-01-25 00:00:00,2022-01-25 23:48:30
43,116440,2022-01-27T07:39:32Z,2022-04-02 23:02:24,2022-01-27 00:00:00,2022-01-27 07:39:32
42,103777,2022-01-30T19:37:30Z,2022-03-30 14:24:00,2022-01-30 00:00:00,2022-01-30 19:37:30
41,112197,2022-01-31T23:05:45Z,2022-03-28 01:55:12,2022-01-31 00:00:00,2022-01-31 23:05:45
14,112076,2022-01-31T00:59:52Z,2022-04-03 19:12:00,2022-01-31 00:00:00,2022-01-31 00:59:52
15,112076,2022-01-31T08:58:15Z,2022-04-03 19:12:00,2022-01-31 00:00:00,2022-01-31 08:58:15
16,112076,2022-02-01T01:01:43Z,2022-04-03 19:12:00,2022-02-01 00:00:00,2022-02-01 01:01:43
29,115375,2022-02-01T20:22:07Z,2022-04-02 23:02:24,2022-02-01 00:00:00,2022-02-01 20:22:07
30,115375,2022-02-01T20:22:23Z,2022-04-02 23:02:24,2022-02-01 00:00:00,2022-02-01 20:22:23
33,115375,2022-02-01T23:05:47Z,2022-04-04 15:21:36,2022-02-01 00:00:00,2022-02-01 23:05:47
34,112510,2022-02-01T16:33:49Z,2022-04-01 06:43:12,2022-02-01 00:00:00,2022-02-01 16:33:49
38,115725,2022-02-01T02:44:10Z,2022-04-02 02:52:48,2022-02-01 00:00:00,2022-02-01 02:44:10
32,115375,2022-02-01T23:05:06Z,2022-04-03 19:12:00,2022-02-01 00:00:00,2022-02-01 23:05:06
31,115375,2022-02-01T23:03:59Z,2022-04-04 15:21:36,2022-02-01 00:00:00,2022-02-01 23:03:59
25,109742,2022-02-02T16:02:59Z,2022-04-03 19:12:00,2022-02-02 00:00:00,2022-02-02 16:02:59
17,112076,2022-02-02T17:02:47Z,2022-04-06 07:40:48,2022-02-02 00:00:00,2022-02-02 17:02:47
39,115725,2022-02-02T15:02:21Z,2022-04-02 02:52:48,2022-02-02 00:00:00,2022-02-02 15:02:21
65,119839,2022-02-03T17:03:13Z,2022-04-02 23:02:24,2022-02-03 00:00:00,2022-02-03 17:03:13
71,117502,2022-02-03T16:28:39Z,2022-04-02 02:52:48,2022-02-03 00:00:00,2022-02-03 16:28:39
47,119005,2022-02-03T16:06:20Z,2022-04-03 19:12:00,2022-02-03 00:00:00,2022-02-03 16:06:20
45,118777,2022-02-03T16:48:02Z,2022-04-03 19:12:00,2022-02-03 00:00:00,2022-02-03 16:48:02
20,112076,2022-02-03T17:06:53Z,2022-04-05 11:31:12,2022-02-03 00:00:00,2022-02-03 17:06:53
19,112076,2022-02-03T09:01:12Z,2022-04-05 11:31:12,2022-02-03 00:00:00,2022-02-03 09:01:12
18,112076,2022-02-03T01:05:24Z,2022-04-06 07:40:48,2022-02-03 00:00:00,2022-02-03 01:05:24
2,111805,2022-02-03T22:01:30Z,2022-04-02 23:02:24,2022-02-03 00:00:00,2022-02-03 22:01:30
63,114156,2022-02-03T20:14:11Z,2022-03-24 17:16:48,2022-02-03 00:00:00,2022-02-03 20:14:11
0,119188,2022-02-04T09:59:35Z,2022-04-04 15:21:36,2022-02-04 00:00:00,2022-02-04 09:59:35
