,user_id,time,0,date,date_hms
93,120536,2021-12-07T13:54:30Z,2021-12-11 09:36:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 13:54:30.000000000
94,120536,2021-12-07T13:54:39Z,2021-12-10 13:26:24.000000000,2021-12-07 00:00:00.000000000,2021-12-07 13:54:39.000000000
81,112197,2021-12-07T19:25:06Z,2021-12-03 00:00:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 19:25:06.000000000
50,112076,2021-12-07T00:58:51Z,2021-12-23 03:50:24.000000000,2021-12-07 00:00:00.000000000,2021-12-07 00:58:51.000000000
96,100345,2021-12-07T03:37:25Z,2021-12-03 00:00:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 03:37:25.000000000
27,115725,2021-12-07T01:00:25Z,2022-02-08 04:48:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 01:00:25.000000000
32,115725,2021-12-07T23:21:41Z,2021-12-25 16:19:12.000000000,2021-12-07 00:00:00.000000000,2021-12-07 23:21:41.000000000
31,115725,2021-12-07T19:24:24Z,2021-12-28 04:48:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 19:24:24.000000000
30,115725,2021-12-07T19:24:10Z,2022-01-18 04:48:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 19:24:10.000000000
131,109742,2021-12-08T20:05:21Z,2022-02-19 23:02:24.000000000,2021-12-08 00:00:00.000000000,2021-12-08 20:05:21.000000000
107,114156,2021-12-08T14:58:33Z,2022-01-11 11:31:12.000000000,2021-12-08 00:00:00.000000000,2021-12-08 14:58:33.000000000
33,115725,2021-12-08T14:43:42Z,2021-12-30 17:16:48.000000000,2021-12-08 00:00:00.000000000,2021-12-08 14:43:42.000000000
75,116812,2021-12-08T19:10:47Z,2021-12-03 00:00:00.000000000,2021-12-08 00:00:00.000000000,2021-12-08 19:10:47.000000000
53,112076,2021-12-08T08:52:27Z,2021-12-03 00:00:00.000000000,2021-12-08 00:00:00.000000000,2021-12-08 08:52:27.000000000
52,112076,2021-12-08T01:06:30Z,2021-12-03 00:00:00.000000000,2021-12-08 00:00:00.000000000,2021-12-08 01:06:30.000000000
55,112076,2021-12-09T09:31:03Z,2021-12-03 00:00:00.000000000,2021-12-09 00:00:00.000000000,2021-12-09 09:31:03.000000000
54,112076,2021-12-09T00:54:48Z,2021-12-03 00:00:00.000000000,2021-12-09 00:00:00.000000000,2021-12-09 00:54:48.000000000
34,115725,2021-12-09T16:54:13Z,2022-01-28 06:43:12.000000000,2021-12-09 00:00:00.000000000,2021-12-09 16:54:13.000000000
56,112076,2021-12-09T17:00:17Z,2021-12-03 00:00:00.000000000,2021-12-09 00:00:00.000000000,2021-12-09 17:00:17.000000000
35,115725,2021-12-10T15:29:24Z,2022-01-31 15:21:36.000000000,2021-12-10 00:00:00.000000000,2021-12-10 15:29:24.000000000
45,115866,2021-12-10T16:26:28Z,2022-01-17 08:38:24.000000000,2021-12-10 00:00:00.000000000,2021-12-10 16:26:28.000000000
36,115725,2021-12-11T14:51:52Z,2022-01-31 15:21:36.000000000,2021-12-11 00:00:00.000000000,2021-12-11 14:51:52.000000000
57,112076,2021-12-11T08:56:40Z,2021-12-03 00:00:00.000000000,2021-12-11 00:00:00.000000000,2021-12-11 08:56:40.000000000
58,112076,2021-12-11T16:50:29Z,2021-12-03 00:00:00.000000000,2021-12-11 00:00:00.000000000,2021-12-11 16:50:29.000000000
44,101412,2021-12-11T00:17:27Z,2021-12-03 00:00:00.000000000,2021-12-11 00:00:00.000000000,2021-12-11 00:17:27.000000000
109,114156,2021-12-13T15:28:30Z,2022-01-14 20:09:36.000000000,2021-12-13 00:00:00.000000000,2021-12-13 15:28:30.000000000
108,114156,2021-12-13T15:28:22Z,2022-01-13 03:50:24.000000000,2021-12-13 00:00:00.000000000,2021-12-13 15:28:22.000000000
14,119005,2021-12-13T02:57:00Z,2021-12-25 16:19:12.000000000,2021-12-13 00:00:00.000000000,2021-12-13 02:57:00.000000000
84,112197,2021-12-14T14:34:25Z,2021-12-03 00:00:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 14:34:25.000000000
83,112197,2021-12-14T14:34:17Z,2021-12-03 00:00:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 14:34:17.000000000
40,120798,2021-12-14T21:49:44Z,2022-02-22 11:31:12.000000000,2021-12-14 00:00:00.000000000,2021-12-14 21:49:44.000000000
4,118777,2021-12-14T15:45:30Z,2022-02-08 04:48:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 15:45:30.000000000
132,109742,2021-12-14T23:42:45Z,2022-02-19 23:02:24.000000000,2021-12-14 00:00:00.000000000,2021-12-14 23:42:45.000000000
42,112705,2021-12-14T14:55:20Z,2021-12-20 15:21:36.000000000,2021-12-14 00:00:00.000000000,2021-12-14 14:55:20.000000000
8,117502,2021-12-14T15:21:00Z,2021-12-03 00:00:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 15:21:00.000000000
9,117502,2021-12-14T15:21:36Z,2021-12-03 00:00:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 15:21:36.000000000
110,114156,2021-12-14T23:59:57Z,2022-01-19 00:57:36.000000000,2021-12-14 00:00:00.000000000,2021-12-14 23:59:57.000000000
76,116812,2021-12-14T18:35:48Z,2021-12-03 00:00:00.000000000,2021-12-14 00:00:00.000000000,2021-12-14 18:35:48.000000000
86,112197,2021-12-16T00:39:16Z,2021-12-03 00:00:00.000000000,2021-12-16 00:00:00.000000000,2021-12-16 00:39:16.000000000
85,112197,2021-12-16T00:38:56Z,2021-12-03 00:00:00.000000000,2021-12-16 00:00:00.000000000,2021-12-16 00:38:56.000000000
111,114156,2021-12-16T22:31:45Z,2022-01-19 21:07:11.999999999,2021-12-16 00:00:00.000000000,2021-12-16 22:31:45.000000000
112,114156,2021-12-16T22:32:08Z,2022-01-19 21:07:11.999999999,2021-12-16 00:00:00.000000000,2021-12-16 22:32:08.000000000
59,112076,2021-12-17T01:20:55Z,2021-12-03 00:00:00.000000000,2021-12-17 00:00:00.000000000,2021-12-17 01:20:55.000000000
60,112076,2021-12-17T09:07:33Z,2021-12-03 00:00:00.000000000,2021-12-17 00:00:00.000000000,2021-12-17 09:07:33.000000000
113,114156,2021-12-17T16:05:31Z,2022-01-19 00:57:36.000000000,2021-12-17 00:00:00.000000000,2021-12-17 16:05:31.000000000
77,116812,2021-12-17T17:55:08Z,2021-12-03 00:00:00.000000000,2021-12-17 00:00:00.000000000,2021-12-17 17:55:08.000000000
37,115725,2021-12-17T15:43:59Z,2022-01-31 15:21:36.000000000,2021-12-17 00:00:00.000000000,2021-12-17 15:43:59.000000000
119,111856,2021-12-17T06:42:35Z,2021-12-29 21:07:12.000000000,2021-12-17 00:00:00.000000000,2021-12-17 06:42:35.000000000
39,109158,2021-12-17T01:00:44Z,2021-12-03 00:00:00.000000000,2021-12-17 00:00:00.000000000,2021-12-17 01:00:44.000000000
133,109742,2021-12-18T20:13:10Z,2021-12-03 00:00:00.000000000,2021-12-18 00:00:00.000000000,2021-12-18 20:13:10.000000000
61,112076,2021-12-18T01:04:37Z,2021-12-03 00:00:00.000000000,2021-12-18 00:00:00.000000000,2021-12-18 01:04:37.000000000
100,100345,2021-12-18T05:31:56Z,2021-12-03 00:00:00.000000000,2021-12-18 00:00:00.000000000,2021-12-18 05:31:56.000000000
62,112076,2021-12-18T08:59:32Z,2021-12-03 00:00:00.000000000,2021-12-18 00:00:00.000000000,2021-12-18 08:59:32.000000000
64,112076,2021-12-19T08:59:09Z,2021-12-03 00:00:00.000000000,2021-12-19 00:00:00.000000000,2021-12-19 08:59:09.000000000
63,112076,2021-12-19T01:11:08Z,2021-12-03 00:00:00.000000000,2021-12-19 00:00:00.000000000,2021-12-19 01:11:08.000000000
88,112197,2021-12-19T11:58:46Z,2021-12-03 00:00:00.000000000,2021-12-19 00:00:00.000000000,2021-12-19 11:58:46.000000000
87,112197,2021-12-19T11:58:14Z,2021-12-03 00:00:00.000000000,2021-12-19 00:00:00.000000000,2021-12-19 11:58:14.000000000
38,115725,2021-12-20T02:05:30Z,2021-12-03 20:09:36.000000000,2021-12-20 00:00:00.000000000,2021-12-20 02:05:30.000000000
115,114156,2021-12-20T15:04:11Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,2021-12-20 15:04:11.000000000
114,114156,2021-12-20T15:03:00Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,2021-12-20 15:03:00.000000000
65,112076,2021-12-20T08:58:45Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,2021-12-20 08:58:45.000000000
78,116812,2021-12-20T19:11:25Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,2021-12-20 19:11:25.000000000
16,103246,2021-12-20T05:56:15Z,2021-12-03 00:00:00.000000000,2021-12-20 00:00:00.000000000,2021-12-20 05:56:15.000000000
46,115866,2021-12-20T11:39:16Z,2021-12-04 16:19:12.000000000,2021-12-20 00:00:00.000000000,2021-12-20 11:39:16.000000000
66,112076,2021-12-21T01:06:41Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 01:06:41.000000000
67,112076,2021-12-21T09:05:21Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 09:05:21.000000000
43,112705,2021-12-21T16:25:29Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 16:25:29.000000000
15,119005,2021-12-21T02:56:45Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 02:56:45.000000000
89,112197,2021-12-21T12:01:26Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 12:01:26.000000000
68,112076,2021-12-21T17:00:59Z,2021-12-03 00:00:00.000000000,2021-12-21 00:00:00.000000000,2021-12-21 17:00:59.000000000
13,111805,2021-12-22T22:30:35Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 22:30:35.000000000
120,111856,2021-12-22T05:02:40Z,2021-12-03 20:09:36.000000000,2021-12-22 00:00:00.000000000,2021-12-22 05:02:40.000000000
134,109742,2021-12-22T05:16:22Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 05:16:22.000000000
135,109742,2021-12-22T19:28:00Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 19:28:00.000000000
121,111856,2021-12-22T21:39:34Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 21:39:34.000000000
91,112197,2021-12-22T20:59:10Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 20:59:10.000000000
92,112197,2021-12-22T21:00:16Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 21:00:16.000000000
70,112076,2021-12-22T08:58:11Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 08:58:11.000000000
71,112076,2021-12-22T16:55:25Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 16:55:25.000000000
72,112076,2021-12-22T16:55:26Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 16:55:26.000000000
79,116812,2021-12-22T15:36:58Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 15:36:58.000000000
101,100345,2021-12-22T17:30:03Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 17:30:03.000000000
90,112197,2021-12-22T20:57:50Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 20:57:50.000000000
116,114156,2021-12-22T19:00:59Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 19:00:59.000000000
69,112076,2021-12-22T01:14:25Z,2021-12-03 00:00:00.000000000,2021-12-22 00:00:00.000000000,2021-12-22 01:14:25.000000000
139,107445,2021-12-23T19:07:39Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 19:07:39.000000000
117,114156,2021-12-23T15:50:40Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 15:50:40.000000000
12,115375,2021-12-23T08:53:08Z,2022-01-24 22:04:48.000000000,2021-12-23 00:00:00.000000000,2021-12-23 08:53:08.000000000
11,103777,2021-12-23T11:24:47Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 11:24:47.000000000
10,117502,2021-12-23T16:03:01Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 16:03:01.000000000
5,118777,2021-12-23T17:06:36Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 17:06:36.000000000
2,120491,2021-12-23T21:40:00Z,2021-12-03 00:00:00.000000000,2021-12-23 00:00:00.000000000,2021-12-23 21:40:00.000000000
125,113141,2021-12-23T16:16:42Z,2021-12-04 16:19:12.000000000,2021-12-23 00:00:00.000000000,2021-12-23 16:16:42.000000000
136,109742,2021-12-24T05:41:13Z,2021-12-03 00:00:00.000000000,2021-12-24 00:00:00.000000000,2021-12-24 05:41:13.000000000
137,109742,2021-12-24T05:42:32Z,2021-12-03 00:00:00.000000000,2021-12-24 00:00:00.000000000,2021-12-24 05:42:32.000000000
0,116440,2021-12-24T08:32:45Z,2021-12-03 00:00:00.000000000,2021-12-24 00:00:00.000000000,2021-12-24 08:32:45.000000000
