,user_id,time,0,date,date_hms
74,109742,2021-12-03T18:03:04Z,2022-01-19 21:07:11.999999999,2021-12-03 00:00:00.000000000,2021-12-03 18:03:04.000000000
4,107445,2021-12-03T18:22:48Z,2022-01-24 22:04:48.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:22:48.000000000
107,114156,2021-12-03T17:39:51Z,2022-01-16 12:28:48.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:39:51.000000000
94,118777,2021-12-03T17:01:17Z,2022-01-03 01:55:12.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:01:17.000000000
7,115725,2021-12-03T17:28:35Z,2022-01-14 00:00:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:28:35.000000000
8,115725,2021-12-03T18:10:20Z,2022-01-14 00:00:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 18:10:20.000000000
73,109742,2021-12-03T17:49:48Z,2022-01-18 04:48:00.000000000,2021-12-03 00:00:00.000000000,2021-12-03 17:49:48.000000000
63,112197,2021-12-03T22:04:35Z,2022-01-24 22:04:48.000000000,2021-12-03 00:00:00.000000000,2021-12-03 22:04:35.000000000
146,119478,2021-12-04T11:50:36Z,2022-01-08 02:52:48.000000000,2021-12-04 00:00:00.000000000,2021-12-04 11:50:36.000000000
145,119839,2021-12-04T19:23:12Z,2022-02-15 18:14:24.000000000,2021-12-04 00:00:00.000000000,2021-12-04 19:23:12.000000000
125,112076,2021-12-04T16:54:15Z,2022-01-14 20:09:36.000000000,2021-12-04 00:00:00.000000000,2021-12-04 16:54:15.000000000
84,117502,2021-12-04T02:11:33Z,2022-01-01 09:36:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 02:11:33.000000000
147,113141,2021-12-04T09:13:40Z,2022-01-29 02:52:48.000000000,2021-12-04 00:00:00.000000000,2021-12-04 09:13:40.000000000
36,100345,2021-12-04T01:49:07Z,2022-02-22 11:31:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 01:49:07.000000000
148,120408,2021-12-04T07:40:22Z,2022-01-18 04:48:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 07:40:22.000000000
2,120491,2021-12-04T17:17:55Z,2022-01-15 16:19:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 17:17:55.000000000
12,115725,2021-12-04T23:40:56Z,2022-01-15 16:19:12.000000000,2021-12-04 00:00:00.000000000,2021-12-04 23:40:56.000000000
11,115725,2021-12-04T23:40:49Z,2022-01-14 20:09:36.000000000,2021-12-04 00:00:00.000000000,2021-12-04 23:40:49.000000000
9,115725,2021-12-04T11:19:27Z,2022-01-14 00:00:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 11:19:27.000000000
10,115725,2021-12-04T23:05:36Z,2022-01-14 00:00:00.000000000,2021-12-04 00:00:00.000000000,2021-12-04 23:05:36.000000000
29,116812,2021-12-05T17:55:04Z,2022-01-20 17:16:47.999999999,2021-12-05 00:00:00.000000000,2021-12-05 17:55:04.000000000
57,111856,2021-12-05T09:31:32Z,2022-01-16 12:28:48.000000000,2021-12-05 00:00:00.000000000,2021-12-05 09:31:32.000000000
126,112076,2021-12-05T01:27:28Z,2022-01-19 21:07:11.999999999,2021-12-05 00:00:00.000000000,2021-12-05 01:27:28.000000000
13,115725,2021-12-05T15:09:58Z,2022-01-15 16:19:12.000000000,2021-12-05 00:00:00.000000000,2021-12-05 15:09:58.000000000
95,118777,2021-12-06T20:28:01Z,2022-01-03 22:04:48.000000000,2021-12-06 00:00:00.000000000,2021-12-06 20:28:01.000000000
96,118777,2021-12-06T20:28:18Z,2022-01-01 09:36:00.000000000,2021-12-06 00:00:00.000000000,2021-12-06 20:28:18.000000000
108,114156,2021-12-06T17:24:53Z,2022-01-19 00:57:36.000000000,2021-12-06 00:00:00.000000000,2021-12-06 17:24:53.000000000
37,100345,2021-12-07T03:36:08Z,2022-01-19 00:57:36.000000000,2021-12-07 00:00:00.000000000,2021-12-07 03:36:08.000000000
85,117502,2021-12-07T13:40:48Z,2022-01-09 19:12:00.000000000,2021-12-07 00:00:00.000000000,2021-12-07 13:40:48.000000000
39,100345,2021-12-07T20:46:08Z,2022-01-24 01:55:12.000000000,2021-12-07 00:00:00.000000000,2021-12-07 20:46:08.000000000
38,100345,2021-12-07T20:45:41Z,2022-01-21 13:26:24.000000000,2021-12-07 00:00:00.000000000,2021-12-07 20:45:41.000000000
14,115725,2021-12-07T00:56:35Z,2022-01-17 08:38:24.000000000,2021-12-07 00:00:00.000000000,2021-12-07 00:56:35.000000000
15,115725,2021-12-07T00:59:53Z,2022-01-17 08:38:24.000000000,2021-12-07 00:00:00.000000000,2021-12-07 00:59:53.000000000
144,120536,2021-12-07T13:47:11Z,2022-01-23 05:45:36.000000000,2021-12-07 00:00:00.000000000,2021-12-07 13:47:11.000000000
16,115725,2021-12-07T19:25:55Z,2022-01-16 12:28:48.000000000,2021-12-07 00:00:00.000000000,2021-12-07 19:25:55.000000000
127,112076,2021-12-08T01:06:58Z,2022-01-19 00:57:36.000000000,2021-12-08 00:00:00.000000000,2021-12-08 01:06:58.000000000
75,109742,2021-12-08T20:04:32Z,2022-01-19 21:07:11.999999999,2021-12-08 00:00:00.000000000,2021-12-08 20:04:32.000000000
109,114156,2021-12-08T14:56:57Z,2022-01-18 04:48:00.000000000,2021-12-08 00:00:00.000000000,2021-12-08 14:56:57.000000000
76,109742,2021-12-09T16:02:30Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,2021-12-09 16:02:30.000000000
110,114156,2021-12-09T21:25:01Z,2022-01-18 04:48:00.000000000,2021-12-09 00:00:00.000000000,2021-12-09 21:25:01.000000000
89,112705,2021-12-09T03:27:13Z,2022-01-14 20:09:36.000000000,2021-12-09 00:00:00.000000000,2021-12-09 03:27:13.000000000
129,112076,2021-12-09T09:31:43Z,2022-01-19 00:57:36.000000000,2021-12-09 00:00:00.000000000,2021-12-09 09:31:43.000000000
128,112076,2021-12-09T00:55:23Z,2022-01-19 21:07:11.999999999,2021-12-09 00:00:00.000000000,2021-12-09 00:55:23.000000000
18,115725,2021-12-09T16:53:47Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,2021-12-09 16:53:47.000000000
17,115725,2021-12-09T16:53:35Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,2021-12-09 16:53:35.000000000
30,116812,2021-12-09T03:01:51Z,2022-01-20 17:16:47.999999999,2021-12-09 00:00:00.000000000,2021-12-09 03:01:51.000000000
104,101412,2021-12-10T23:17:38Z,2022-01-19 00:57:36.000000000,2021-12-10 00:00:00.000000000,2021-12-10 23:17:38.000000000
130,112076,2021-12-10T01:12:04Z,2022-01-17 08:38:24.000000000,2021-12-10 00:00:00.000000000,2021-12-10 01:12:04.000000000
105,115866,2021-12-10T16:25:47Z,2022-01-14 00:00:00.000000000,2021-12-10 00:00:00.000000000,2021-12-10 16:25:47.000000000
111,114156,2021-12-10T16:18:47Z,2022-01-18 04:48:00.000000000,2021-12-10 00:00:00.000000000,2021-12-10 16:18:47.000000000
131,112076,2021-12-11T01:16:24Z,2022-01-16 12:28:48.000000000,2021-12-11 00:00:00.000000000,2021-12-11 01:16:24.000000000
40,100345,2021-12-12T03:57:37Z,2022-01-23 05:45:36.000000000,2021-12-12 00:00:00.000000000,2021-12-12 03:57:37.000000000
41,100345,2021-12-12T03:58:20Z,2022-01-23 05:45:36.000000000,2021-12-12 00:00:00.000000000,2021-12-12 03:58:20.000000000
25,119005,2021-12-13T02:55:39Z,2022-01-19 00:57:36.000000000,2021-12-13 00:00:00.000000000,2021-12-13 02:55:39.000000000
