,user_id,time,0,date,date_hms
48,112197,2021-12-24T17:19:39Z,2022-02-25 00:00:00,2021-12-24 00:00:00,2021-12-24 17:19:39
107,109742,2021-12-24T21:10:34Z,2022-02-28 08:38:24,2021-12-24 00:00:00,2021-12-24 21:10:34
51,112197,2021-12-24T17:24:40Z,2022-02-28 08:38:24,2021-12-24 00:00:00,2021-12-24 17:24:40
50,112197,2021-12-24T17:24:15Z,2022-02-27 12:28:48,2021-12-24 00:00:00,2021-12-24 17:24:15
49,112197,2021-12-24T17:20:10Z,2022-02-25 00:00:00,2021-12-24 00:00:00,2021-12-24 17:20:10
106,109742,2021-12-24T18:05:20Z,2022-03-02 00:57:36,2021-12-24 00:00:00,2021-12-24 18:05:20
52,112197,2021-12-24T18:27:07Z,2022-03-02 21:07:12,2021-12-24 00:00:00,2021-12-24 18:27:07
125,116812,2021-12-24T17:37:00Z,2022-03-16 07:40:48,2021-12-24 00:00:00,2021-12-24 17:37:00
123,117502,2021-12-24T19:49:39Z,2022-03-02 21:07:12,2021-12-24 00:00:00,2021-12-24 19:49:39
105,109742,2021-12-24T18:04:35Z,2022-03-02 21:07:12,2021-12-24 00:00:00,2021-12-24 18:04:35
46,112197,2021-12-24T17:18:05Z,2022-02-27 12:28:48,2021-12-24 00:00:00,2021-12-24 17:18:05
47,112197,2021-12-24T17:19:29Z,2022-02-24 03:50:24,2021-12-24 00:00:00,2021-12-24 17:19:29
25,107445,2021-12-25T05:08:13Z,2022-03-05 09:36:00,2021-12-25 00:00:00,2021-12-25 05:08:13
24,107445,2021-12-25T05:07:55Z,2022-03-05 09:36:00,2021-12-25 00:00:00,2021-12-25 05:07:55
75,112076,2021-12-25T17:01:05Z,2022-03-02 00:57:36,2021-12-25 00:00:00,2021-12-25 17:01:05
126,116812,2021-12-25T22:59:24Z,2022-03-15 11:31:12,2021-12-25 00:00:00,2021-12-25 22:59:24
122,121070,2021-12-25T03:51:13Z,2022-02-03 03:50:24,2021-12-25 00:00:00,2021-12-25 03:51:13
31,118777,2021-12-25T01:53:39Z,2022-02-28 08:38:24,2021-12-25 00:00:00,2021-12-25 01:53:39
92,115725,2021-12-26T14:36:55Z,2022-03-11 06:43:12,2021-12-26 00:00:00,2021-12-26 14:36:55
121,121092,2021-12-26T00:17:05Z,2022-03-14 15:21:36,2021-12-26 00:00:00,2021-12-26 00:17:05
76,112076,2021-12-26T01:08:36Z,2022-03-07 22:04:48,2021-12-26 00:00:00,2021-12-26 01:08:36
1,114156,2021-12-26T06:51:15Z,2022-02-18 06:43:12,2021-12-26 00:00:00,2021-12-26 06:51:15
29,119839,2021-12-26T23:53:42Z,2021-12-24 00:00:00,2021-12-26 00:00:00,2021-12-26 23:53:42
118,117938,2021-12-27T22:50:33Z,2022-03-14 15:21:36,2021-12-27 00:00:00,2021-12-27 22:50:33
119,117458,2021-12-27T21:23:23Z,2022-03-01 04:48:00,2021-12-27 00:00:00,2021-12-27 21:23:23
120,120952,2021-12-27T13:57:43Z,2022-01-19 21:07:12,2021-12-27 00:00:00,2021-12-27 13:57:43
68,112705,2021-12-27T08:03:59Z,2022-02-15 18:14:24,2021-12-27 00:00:00,2021-12-27 08:03:59
79,112076,2021-12-27T17:02:55Z,2022-02-18 06:43:12,2021-12-27 00:00:00,2021-12-27 17:02:55
36,113141,2021-12-27T13:25:13Z,2022-02-23 07:40:48,2021-12-27 00:00:00,2021-12-27 13:25:13
77,112076,2021-12-27T01:06:19Z,2022-03-09 14:24:00,2021-12-27 00:00:00,2021-12-27 01:06:19
78,112076,2021-12-27T09:10:27Z,2022-03-06 05:45:36,2021-12-27 00:00:00,2021-12-27 09:10:27
80,112076,2021-12-28T01:04:21Z,2022-02-25 20:09:36,2021-12-28 00:00:00,2021-12-28 01:04:21
117,110540,2021-12-28T05:08:08Z,2022-03-11 06:43:12,2021-12-28 00:00:00,2021-12-28 05:08:08
108,109742,2021-12-28T18:38:10Z,2022-03-09 14:24:00,2021-12-28 00:00:00,2021-12-28 18:38:10
53,112197,2021-12-29T01:39:11Z,2022-03-03 17:16:48,2021-12-29 00:00:00,2021-12-29 01:39:11
2,114156,2021-12-29T20:31:53Z,2022-02-19 02:52:48,2021-12-29 00:00:00,2021-12-29 20:31:53
109,109742,2021-12-29T17:42:40Z,2022-03-12 23:02:24,2021-12-29 00:00:00,2021-12-29 17:42:40
110,109742,2021-12-29T17:42:55Z,2022-03-13 19:12:00,2021-12-29 00:00:00,2021-12-29 17:42:55
115,100345,2021-12-29T14:38:05Z,2022-02-20 19:12:00,2021-12-29 00:00:00,2021-12-29 14:38:05
116,100345,2021-12-29T14:38:27Z,2022-02-21 15:21:36,2021-12-29 00:00:00,2021-12-29 14:38:27
55,112197,2021-12-29T01:40:20Z,2022-03-04 13:26:24,2021-12-29 00:00:00,2021-12-29 01:40:20
81,112076,2021-12-29T01:04:33Z,2022-03-03 17:16:48,2021-12-29 00:00:00,2021-12-29 01:04:33
82,112076,2021-12-29T17:06:34Z,2022-03-07 01:55:12,2021-12-29 00:00:00,2021-12-29 17:06:34
54,112197,2021-12-29T01:40:10Z,2022-03-06 05:45:36,2021-12-29 00:00:00,2021-12-29 01:40:10
3,114156,2021-12-30T21:54:09Z,2022-02-23 07:40:48,2021-12-30 00:00:00,2021-12-30 21:54:09
4,114156,2021-12-30T21:54:58Z,2022-02-26 16:19:12,2021-12-30 00:00:00,2021-12-30 21:54:58
94,115725,2021-12-30T14:40:21Z,2022-03-11 06:43:12,2021-12-30 00:00:00,2021-12-30 14:40:21
83,112076,2021-12-30T01:07:36Z,2022-03-08 18:14:24,2021-12-30 00:00:00,2021-12-30 01:07:36
56,112197,2021-12-30T07:04:04Z,2022-03-02 21:07:12,2021-12-30 00:00:00,2021-12-30 07:04:04
57,112197,2021-12-30T07:04:31Z,2022-03-05 09:36:00,2021-12-30 00:00:00,2021-12-30 07:04:31
84,112076,2021-12-30T17:05:36Z,2022-03-09 14:24:00,2021-12-30 00:00:00,2021-12-30 17:05:36
93,115725,2021-12-30T14:40:12Z,2022-03-11 06:43:12,2021-12-30 00:00:00,2021-12-30 14:40:12
33,118777,2021-12-31T20:25:47Z,2022-03-11 06:43:12,2021-12-31 00:00:00,2021-12-31 20:25:47
32,118777,2021-12-31T20:25:32Z,2022-03-04 13:26:24,2021-12-31 00:00:00,2021-12-31 20:25:32
127,116812,2022-01-01T22:55:31Z,2022-03-16 07:40:48,2022-01-01 00:00:00,2022-01-01 22:55:31
17,115375,2022-01-02T01:04:17Z,2022-02-11 13:26:24,2022-01-02 00:00:00,2022-01-02 01:04:17
74,112479,2022-01-02T19:19:07Z,2022-03-15 11:31:12,2022-01-02 00:00:00,2022-01-02 19:19:07
18,115375,2022-01-02T01:05:02Z,2022-02-14 01:55:12,2022-01-02 00:00:00,2022-01-02 01:05:02
19,115375,2022-01-02T01:20:42Z,2022-02-17 10:33:36,2022-01-02 00:00:00,2022-01-02 01:20:42
86,112076,2022-01-02T17:01:32Z,2022-03-12 23:02:24,2022-01-02 00:00:00,2022-01-02 17:01:32
85,112076,2022-01-02T08:59:14Z,2022-03-12 02:52:48,2022-01-02 00:00:00,2022-01-02 08:59:14
95,115725,2022-01-03T02:20:18Z,2022-03-10 10:33:36,2022-01-03 00:00:00,2022-01-03 02:20:18
5,114156,2022-01-03T14:59:22Z,2022-02-28 08:38:24,2022-01-03 00:00:00,2022-01-03 14:59:22
71,119005,2022-01-03T05:45:41Z,2022-03-12 23:02:24,2022-01-03 00:00:00,2022-01-03 05:45:41
20,115375,2022-01-03T02:02:51Z,2022-02-19 02:52:48,2022-01-03 00:00:00,2022-01-03 02:02:51
96,115725,2022-01-03T02:20:47Z,2022-03-11 06:43:12,2022-01-03 00:00:00,2022-01-03 02:20:47
87,112076,2022-01-03T01:02:55Z,2022-03-13 19:12:00,2022-01-03 00:00:00,2022-01-03 01:02:55
88,112076,2022-01-03T08:56:51Z,2022-03-13 19:12:00,2022-01-03 00:00:00,2022-01-03 08:56:51
97,115725,2022-01-03T13:03:20Z,2022-03-11 06:43:12,2022-01-03 00:00:00,2022-01-03 13:03:20
70,102210,2022-01-04T19:56:31Z,2022-03-14 15:21:36,2022-01-04 00:00:00,2022-01-04 19:56:31
26,107445,2022-01-04T20:54:08Z,2022-03-09 14:24:00,2022-01-04 00:00:00,2022-01-04 20:54:08
58,112197,2022-01-04T00:18:19Z,2022-03-06 05:45:36,2022-01-04 00:00:00,2022-01-04 00:18:19
66,117580,2022-01-05T19:05:45Z,2022-03-12 23:02:24,2022-01-05 00:00:00,2022-01-05 19:05:45
89,112076,2022-01-05T16:58:59Z,2022-03-13 19:12:00,2022-01-05 00:00:00,2022-01-05 16:58:59
111,109742,2022-01-05T15:34:41Z,2022-03-11 06:43:12,2022-01-05 00:00:00,2022-01-05 15:34:41
69,112705,2022-01-05T01:41:31Z,2022-03-11 06:43:12,2022-01-05 00:00:00,2022-01-05 01:41:31
21,115375,2022-01-05T17:37:29Z,2022-03-08 18:14:24,2022-01-05 00:00:00,2022-01-05 17:37:29
124,117502,2022-01-06T14:42:37Z,2022-03-09 14:24:00,2022-01-06 00:00:00,2022-01-06 14:42:37
6,114156,2022-01-06T15:22:07Z,2022-03-02 00:57:36,2022-01-06 00:00:00,2022-01-06 15:22:07
65,119188,2022-01-06T16:12:52Z,2021-12-25 16:19:12,2022-01-06 00:00:00,2022-01-06 16:12:52
98,115725,2022-01-07T17:07:41Z,2022-03-11 06:43:12,2022-01-07 00:00:00,2022-01-07 17:07:41
63,111805,2022-01-07T10:03:24Z,2022-03-11 06:43:12,2022-01-07 00:00:00,2022-01-07 10:03:24
7,114156,2022-01-07T16:56:36Z,2022-03-02 00:57:36,2022-01-07 00:00:00,2022-01-07 16:56:36
64,111805,2022-01-07T10:03:59Z,2022-03-10 10:33:36,2022-01-07 00:00:00,2022-01-07 10:03:59
61,112197,2022-01-07T17:06:33Z,2022-03-09 14:24:00,2022-01-07 00:00:00,2022-01-07 17:06:33
60,112197,2022-01-07T17:06:05Z,2022-03-08 18:14:24,2022-01-07 00:00:00,2022-01-07 17:06:05
59,112197,2022-01-07T17:05:38Z,2022-03-07 01:55:12,2022-01-07 00:00:00,2022-01-07 17:05:38
45,103275,2022-01-07T17:39:56Z,2022-03-12 23:02:24,2022-01-07 00:00:00,2022-01-07 17:39:56
44,119642,2022-01-07T20:25:09Z,2021-12-27 08:38:24,2022-01-07 00:00:00,2022-01-07 20:25:09
90,112076,2022-01-08T01:22:48Z,2022-03-12 02:52:48,2022-01-08 00:00:00,2022-01-08 01:22:48
43,112133,2022-01-09T23:19:39Z,2022-03-15 11:31:12,2022-01-09 00:00:00,2022-01-09 23:19:39
