,user_id,time,0,date,pred_duration,pred_duration_int
8,115725,2021-12-03T18:10:20Z,2022-01-14 00:00:00.000000000,2021-12-03 00:00:00.000000000,42 days 00:00:00,42
7,115725,2021-12-03T17:28:35Z,2022-01-14 00:00:00.000000000,2021-12-03 00:00:00.000000000,42 days 00:00:00,42
9,115725,2021-12-04T11:19:27Z,2022-01-14 00:00:00.000000000,2021-12-04 00:00:00.000000000,41 days 00:00:00,41
10,115725,2021-12-04T23:05:36Z,2022-01-14 00:00:00.000000000,2021-12-04 00:00:00.000000000,41 days 00:00:00,41
12,115725,2021-12-04T23:40:56Z,2022-01-15 16:19:12.000000000,2021-12-04 00:00:00.000000000,42 days 16:19:12,42
11,115725,2021-12-04T23:40:49Z,2022-01-14 20:09:36.000000000,2021-12-04 00:00:00.000000000,41 days 20:09:36,41
13,115725,2021-12-05T15:09:58Z,2022-01-15 16:19:12.000000000,2021-12-05 00:00:00.000000000,41 days 16:19:12,41
16,115725,2021-12-07T19:25:55Z,2022-01-16 12:28:48.000000000,2021-12-07 00:00:00.000000000,40 days 12:28:48,40
15,115725,2021-12-07T00:59:53Z,2022-01-17 08:38:24.000000000,2021-12-07 00:00:00.000000000,41 days 08:38:24,41
14,115725,2021-12-07T00:56:35Z,2022-01-17 08:38:24.000000000,2021-12-07 00:00:00.000000000,41 days 08:38:24,41
17,115725,2021-12-09T16:53:35Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,38 days 12:28:48,38
18,115725,2021-12-09T16:53:47Z,2022-01-16 12:28:48.000000000,2021-12-09 00:00:00.000000000,38 days 12:28:48,38
19,115725,2021-12-14T15:16:44Z,2022-01-16 12:28:48.000000000,2021-12-14 00:00:00.000000000,33 days 12:28:48,33
20,115725,2021-12-17T12:30:51Z,2022-01-17 08:38:24.000000000,2021-12-17 00:00:00.000000000,31 days 08:38:24,31
22,115725,2021-12-18T12:56:42Z,2022-01-19 00:57:36.000000000,2021-12-18 00:00:00.000000000,32 days 00:57:36,32
21,115725,2021-12-18T12:56:18Z,2022-01-19 00:57:36.000000000,2021-12-18 00:00:00.000000000,32 days 00:57:36,32
24,115725,2021-12-23T16:54:20Z,2022-01-19 00:57:36.000000000,2021-12-23 00:00:00.000000000,27 days 00:57:36,27
23,115725,2021-12-23T16:54:10Z,2022-01-19 00:57:36.000000000,2021-12-23 00:00:00.000000000,27 days 00:57:36,27
36,115725,2021-12-24T18:48:55Z,2022-01-16 12:28:48.000000000,2021-12-24 00:00:00.000000000,23 days 12:28:48,23
35,115725,2021-12-24T17:55:49Z,2022-01-16 12:28:48.000000000,2021-12-24 00:00:00.000000000,23 days 12:28:48,23
37,115725,2021-12-27T14:08:44Z,2022-01-15 16:19:12.000000000,2021-12-27 00:00:00.000000000,19 days 16:19:12,19
39,115725,2021-12-30T20:19:25Z,2022-01-15 16:19:12.000000000,2021-12-30 00:00:00.000000000,16 days 16:19:12,16
38,115725,2021-12-30T14:39:41Z,2022-01-15 16:19:12.000000000,2021-12-30 00:00:00.000000000,16 days 16:19:12,16
40,115725,2022-01-03T13:00:37Z,2022-01-14 20:09:36.000000000,2022-01-03 00:00:00.000000000,11 days 20:09:36,11
41,115725,2022-01-03T14:25:11Z,2022-01-14 20:09:36.000000000,2022-01-03 00:00:00.000000000,11 days 20:09:36,11
42,115725,2022-01-03T14:27:44Z,2022-01-14 20:09:36.000000000,2022-01-03 00:00:00.000000000,11 days 20:09:36,11
43,115725,2022-01-04T14:32:10Z,2022-01-14 20:09:36.000000000,2022-01-04 00:00:00.000000000,10 days 20:09:36,10
44,115725,2022-01-05T14:27:26Z,2022-01-14 00:00:00.000000000,2022-01-05 00:00:00.000000000,9 days 00:00:00,9
45,115725,2022-01-06T16:01:12Z,2022-01-14 00:00:00.000000000,2022-01-06 00:00:00.000000000,8 days 00:00:00,8
46,115725,2022-01-07T14:33:37Z,2022-01-14 00:00:00.000000000,2022-01-07 00:00:00.000000000,7 days 00:00:00,7
47,115725,2022-01-10T15:00:44Z,2022-01-18 04:48:00.000000000,2022-01-10 00:00:00.000000000,8 days 04:48:00,8
50,115725,2022-01-11T16:11:43Z,2022-01-18 04:48:00.000000000,2022-01-11 00:00:00.000000000,7 days 04:48:00,7
49,115725,2022-01-11T13:59:34Z,2022-01-17 08:38:23.999999999,2022-01-11 00:00:00.000000000,6 days 08:38:23.999999999,6
48,115725,2022-01-11T04:00:08Z,2022-01-17 08:38:23.999999999,2022-01-11 00:00:00.000000000,6 days 08:38:23.999999999,6
52,115725,2022-01-12T14:21:53Z,2022-01-18 04:48:00.000000000,2022-01-12 00:00:00.000000000,6 days 04:48:00,6
51,115725,2022-01-12T03:58:11Z,2022-01-18 04:48:00.000000000,2022-01-12 00:00:00.000000000,6 days 04:48:00,6
53,115725,2022-01-13T14:14:26Z,2022-01-18 04:48:00.000000000,2022-01-13 00:00:00.000000000,5 days 04:48:00,5
7,115725,2022-01-14T17:09:05Z,2022-01-19 21:07:12.000000000,2022-01-14 00:00:00.000000000,5 days 21:07:12,5
54,115725,2022-01-14T13:48:05Z,2022-01-18 04:48:00.000000000,2022-01-14 00:00:00.000000000,4 days 04:48:00,4
8,115725,2022-01-17T03:27:03Z,2022-01-19 21:07:12.000000000,2022-01-17 00:00:00.000000000,2 days 21:07:12,2
10,115725,2022-01-17T14:28:41Z,2022-01-24 22:04:48.000000000,2022-01-17 00:00:00.000000000,7 days 22:04:48,7
11,115725,2022-01-17T19:50:12Z,2022-01-24 22:04:48.000000000,2022-01-17 00:00:00.000000000,7 days 22:04:48,7
12,115725,2022-01-17T19:50:26Z,2022-01-24 01:55:12.000000000,2022-01-17 00:00:00.000000000,7 days 01:55:12,7
9,115725,2022-01-17T14:28:32Z,2022-01-24 22:04:48.000000000,2022-01-17 00:00:00.000000000,7 days 22:04:48,7
14,115725,2022-01-18T03:48:57Z,2022-01-23 05:45:36.000000000,2022-01-18 00:00:00.000000000,5 days 05:45:36,5
13,115725,2022-01-18T03:48:37Z,2022-01-22 09:36:00.000000000,2022-01-18 00:00:00.000000000,4 days 09:36:00,4
15,115725,2022-01-18T14:31:03Z,2022-01-26 14:24:00.000000000,2022-01-18 00:00:00.000000000,8 days 14:24:00,8
16,115725,2022-01-20T13:36:33Z,2022-01-25 18:14:24.000000000,2022-01-20 00:00:00.000000000,5 days 18:14:24,5
17,115725,2022-01-20T14:25:43Z,2022-01-26 14:24:00.000000000,2022-01-20 00:00:00.000000000,6 days 14:24:00,6
19,115725,2022-01-21T15:35:19Z,2022-01-29 23:02:24.000000000,2022-01-21 00:00:00.000000000,8 days 23:02:24,8
18,115725,2022-01-21T14:13:09Z,2022-01-27 10:33:36.000000000,2022-01-21 00:00:00.000000000,6 days 10:33:36,6
20,115725,2022-01-23T18:26:59Z,2022-01-15 16:19:12.000000000,2022-01-23 00:00:00.000000000,-8 days +16:19:12,-8
21,115725,2022-01-24T14:35:39Z,2022-01-14 00:00:00.000000000,2022-01-24 00:00:00.000000000,-10 days +00:00:00,-10
22,115725,2022-01-25T13:43:20Z,2022-01-14 00:00:00.000000000,2022-01-25 00:00:00.000000000,-11 days +00:00:00,-11
23,115725,2022-01-26T14:09:36Z,2022-01-14 00:00:00.000000000,2022-01-26 00:00:00.000000000,-12 days +00:00:00,-12
24,115725,2022-01-27T15:04:52Z,2022-01-14 00:00:00.000000000,2022-01-27 00:00:00.000000000,-13 days +00:00:00,-13
25,115725,2022-01-28T14:16:31Z,2022-01-14 00:00:00.000000000,2022-01-28 00:00:00.000000000,-14 days +00:00:00,-14
26,115725,2022-01-28T14:16:51Z,2022-01-14 00:00:00.000000000,2022-01-28 00:00:00.000000000,-14 days +00:00:00,-14
27,115725,2022-01-31T14:19:29Z,2022-01-14 00:00:00.000000000,2022-01-31 00:00:00.000000000,-17 days +00:00:00,-17
28,115725,2022-02-01T05:03:33Z,2022-01-14 00:00:00.000000000,2022-02-01 00:00:00.000000000,-18 days +00:00:00,-18
29,115725,2022-02-02T14:58:15Z,2022-01-14 00:00:00.000000000,2022-02-02 00:00:00.000000000,-19 days +00:00:00,-19
31,115725,2022-02-02T15:03:35Z,2022-01-14 00:00:00.000000000,2022-02-02 00:00:00.000000000,-19 days +00:00:00,-19
30,115725,2022-02-02T14:58:57Z,2022-01-14 00:00:00.000000000,2022-02-02 00:00:00.000000000,-19 days +00:00:00,-19
32,115725,2022-02-04T01:09:07Z,2022-01-14 00:00:00.000000000,2022-02-04 00:00:00.000000000,-21 days +00:00:00,-21
