decision_date,best_prior
2021-12-03,49
2021-12-03,49
2021-12-04,49
2021-12-04,49
2021-12-04,49
2021-12-04,49
2021-12-05,49
2021-12-07,46
2021-12-07,46
2021-12-07,46
2021-12-09,46
2021-12-09,46
2021-12-14,46
2021-12-17,46
2021-12-18,51
2021-12-18,51
2021-12-23,51
2021-12-23,51
2021-12-24,46
2021-12-24,46
2021-12-27,49
2021-12-30,49
2021-12-30,49
2022-01-03,49
2022-01-03,49
2022-01-03,49
2022-01-04,49
2022-01-05,49
2022-01-06,43
2022-01-07,43
2022-01-10,46
2022-01-11,46
2022-01-11,59
2022-01-11,59
2022-01-12,59
2022-01-12,59
2022-01-13,41
2022-01-14,42
2022-01-14,41
2022-01-17,42
2022-01-17,52
2022-01-17,52
2022-01-17,52
2022-01-17,52
2022-01-18,46
2022-01-18,38
2022-01-18,55
2022-01-20,43
2022-01-20,48
2022-01-21,60
2022-01-21,46
2022-01-23,34
2022-01-24,39
2022-01-25,39
2022-01-26,39
2022-01-27,39
2022-01-28,39
2022-01-28,39
2022-01-31,39
2022-02-01,39
2022-02-02,39
2022-02-02,39
2022-02-02,39
2022-02-04,39
