decision_date,best_prior
2021-11-13,27
2021-11-24,29
2021-11-27,23
2021-11-27,22
2021-11-27,22
2021-12-02,38
2021-12-02,37
2021-12-02,46
2021-12-02,46
2021-12-02,37
2021-12-03,50
2021-12-06,51
2021-12-08,50
2021-12-09,50
2021-12-10,50
2021-12-13,51
2021-12-14,51
2021-12-16,48
2021-12-16,48
2021-12-16,48
2021-12-17,48
2021-12-17,49
2021-12-20,49
2021-12-23,49
2021-12-23,49
2021-12-23,49
2021-12-23,49
2021-12-24,49
2021-12-26,51
2021-12-27,51
2021-12-29,51
2021-12-29,51
2021-12-29,51
2021-12-29,51
2021-12-30,50
2021-12-30,50
2021-12-30,50
2021-12-30,50
2021-12-30,50
2021-12-30,50
2021-12-30,50
2021-12-31,50
2022-01-03,42
2022-01-04,42
2022-01-04,42
2022-01-05,43
2022-01-05,43
2022-01-06,33
2022-01-07,41
2022-01-07,41
2022-01-10,43
2022-01-10,43
2022-01-10,43
2022-01-11,43
2022-01-11,43
2022-01-12,33
2022-01-13,42
2022-01-14,33
2022-01-14,33
2022-01-15,38
2022-01-15,38
2022-01-17,38
2022-01-17,38
2022-01-17,38
2022-01-19,38
2022-01-20,38
2022-01-20,38
2022-01-20,38
2022-01-21,38
2022-01-24,38
2022-02-03,38
