,user_id,time,0,date,pred_duration,pred_duration_int
5,109742,2021-11-12T21:11:56Z,2022-01-17 04:48:00,2021-11-12 00:00:00,66 days 04:48:00,66
6,109742,2021-11-12T21:17:35Z,2022-01-27 06:43:12,2021-11-12 00:00:00,76 days 06:43:12,76
7,109742,2021-11-16T16:19:21Z,2022-01-28 02:52:48,2021-11-16 00:00:00,73 days 02:52:48,73
8,109742,2021-11-24T15:41:15Z,2022-01-28 23:02:24,2021-11-24 00:00:00,65 days 23:02:24,65
9,109742,2021-11-24T15:41:25Z,2022-01-28 02:52:48,2021-11-24 00:00:00,65 days 02:52:48,65
10,109742,2021-11-29T18:25:15Z,2022-01-28 02:52:48,2021-11-29 00:00:00,60 days 02:52:48,60
11,109742,2021-11-30T18:48:59Z,2022-01-28 02:52:48,2021-11-30 00:00:00,59 days 02:52:48,59
14,109742,2021-12-01T23:47:40Z,2022-01-28 23:02:24,2021-12-01 00:00:00,58 days 23:02:24,58
13,109742,2021-12-01T23:45:43Z,2022-01-28 23:02:24,2021-12-01 00:00:00,58 days 23:02:24,58
12,109742,2021-12-01T23:45:27Z,2022-01-28 23:02:24,2021-12-01 00:00:00,58 days 23:02:24,58
15,109742,2021-12-01T23:49:15Z,2022-01-28 23:02:24,2021-12-01 00:00:00,58 days 23:02:24,58
18,109742,2021-12-02T17:28:32Z,2022-01-28 23:02:24,2021-12-02 00:00:00,57 days 23:02:24,57
19,109742,2021-12-02T17:37:38Z,2022-01-28 23:02:24,2021-12-02 00:00:00,57 days 23:02:24,57
17,109742,2021-12-02T17:28:17Z,2022-01-28 02:52:48,2021-12-02 00:00:00,57 days 02:52:48,57
16,109742,2021-12-02T17:28:14Z,2022-01-28 23:02:24,2021-12-02 00:00:00,57 days 23:02:24,57
128,109742,2021-12-03T17:48:45Z,2022-02-19 02:52:48,2021-12-03 00:00:00,78 days 02:52:48,78
127,109742,2021-12-03T17:48:27Z,2022-02-16 14:24:00,2021-12-03 00:00:00,75 days 14:24:00,75
130,109742,2021-12-03T18:13:43Z,2022-02-20 19:12:00,2021-12-03 00:00:00,79 days 19:12:00,79
129,109742,2021-12-03T18:12:34Z,2022-02-20 19:12:00,2021-12-03 00:00:00,79 days 19:12:00,79
131,109742,2021-12-08T20:05:21Z,2022-02-19 23:02:24,2021-12-08 00:00:00,73 days 23:02:24,73
132,109742,2021-12-14T23:42:45Z,2022-02-19 23:02:24,2021-12-14 00:00:00,67 days 23:02:24,67
133,109742,2021-12-18T20:13:10Z,2021-12-03 00:00:00,2021-12-18 00:00:00,-15 days +00:00:00,-15
134,109742,2021-12-22T05:16:22Z,2021-12-03 00:00:00,2021-12-22 00:00:00,-19 days +00:00:00,-19
135,109742,2021-12-22T19:28:00Z,2021-12-03 00:00:00,2021-12-22 00:00:00,-19 days +00:00:00,-19
105,109742,2021-12-24T18:04:35Z,2022-03-02 21:07:12,2021-12-24 00:00:00,68 days 21:07:12,68
107,109742,2021-12-24T21:10:34Z,2022-02-28 08:38:24,2021-12-24 00:00:00,66 days 08:38:24,66
137,109742,2021-12-24T05:42:32Z,2021-12-03 00:00:00,2021-12-24 00:00:00,-21 days +00:00:00,-21
136,109742,2021-12-24T05:41:13Z,2021-12-03 00:00:00,2021-12-24 00:00:00,-21 days +00:00:00,-21
106,109742,2021-12-24T18:05:20Z,2022-03-02 00:57:36,2021-12-24 00:00:00,68 days 00:57:36,68
108,109742,2021-12-28T18:38:10Z,2022-03-09 14:24:00,2021-12-28 00:00:00,71 days 14:24:00,71
109,109742,2021-12-29T17:42:40Z,2022-03-12 23:02:24,2021-12-29 00:00:00,73 days 23:02:24,73
110,109742,2021-12-29T17:42:55Z,2022-03-13 19:12:00,2021-12-29 00:00:00,74 days 19:12:00,74
111,109742,2022-01-05T15:34:41Z,2022-03-11 06:43:12,2022-01-05 00:00:00,65 days 06:43:12,65
112,109742,2022-01-10T18:21:57Z,2022-03-12 23:02:24,2022-01-10 00:00:00,61 days 23:02:24,61
114,109742,2022-01-13T16:57:29Z,2022-03-13 19:12:00,2022-01-13 00:00:00,59 days 19:12:00,59
113,109742,2022-01-13T02:10:23Z,2022-03-12 23:02:24,2022-01-13 00:00:00,58 days 23:02:24,58
21,109742,2022-01-14T17:10:42Z,2022-03-28 22:04:48,2022-01-14 00:00:00,73 days 22:04:48,73
22,109742,2022-01-18T17:32:26Z,2022-03-28 22:04:48,2022-01-18 00:00:00,69 days 22:04:48,69
23,109742,2022-01-20T16:20:08Z,2022-03-29 18:14:24,2022-01-20 00:00:00,68 days 18:14:24,68
24,109742,2022-01-24T19:47:41Z,2022-04-01 06:43:12,2022-01-24 00:00:00,67 days 06:43:12,67
25,109742,2022-02-02T16:02:59Z,2022-04-03 19:12:00,2022-02-02 00:00:00,60 days 19:12:00,60
