decision_date,best_prior
2021-12-25,83
2021-12-26,97
2021-12-27,95
2021-12-27,100
2021-12-27,86
2021-12-28,84
2021-12-29,97
2021-12-29,96
2021-12-30,97
2021-12-30,95
2022-01-02,101
2022-01-02,101
2022-01-03,104
2022-01-03,104
2022-01-05,104
2022-01-08,101
2022-01-12,101
2022-01-15,131
2022-01-16,131
2022-01-16,131
2022-01-17,131
2022-01-18,127
2022-01-21,127
2022-01-21,131
2022-01-21,131
2022-01-23,131
2022-01-23,131
2022-01-23,127
2022-01-31,121
2022-01-31,121
2022-02-01,121
2022-02-02,131
2022-02-03,131
2022-02-03,127
2022-02-03,127
