,user_id,time,0,date,pred_duration,pred_duration_int
33,112076,2021-11-12T17:50:25Z,2021-12-17 02:52:48.000000000,2021-11-12 00:00:00.000000000,35 days 02:52:48,35
34,112076,2021-11-12T21:11:17Z,2022-01-01 05:45:36.000000000,2021-11-12 00:00:00.000000000,50 days 05:45:36,50
32,112076,2021-11-12T17:50:22Z,2021-12-17 23:02:24.000000000,2021-11-12 00:00:00.000000000,35 days 23:02:24,35
31,112076,2021-11-12T17:50:19Z,2021-12-14 14:24:00.000000000,2021-11-12 00:00:00.000000000,32 days 14:24:00,32
37,112076,2021-11-13T17:04:57Z,2022-01-04 14:24:00.000000000,2021-11-13 00:00:00.000000000,52 days 14:24:00,52
36,112076,2021-11-13T09:03:09Z,2022-01-09 15:21:36.000000000,2021-11-13 00:00:00.000000000,57 days 15:21:36,57
35,112076,2021-11-13T01:02:22Z,2022-01-07 23:02:24.000000000,2021-11-13 00:00:00.000000000,55 days 23:02:24,55
38,112076,2021-11-14T01:04:21Z,2021-12-31 09:36:00.000000000,2021-11-14 00:00:00.000000000,47 days 09:36:00,47
39,112076,2021-11-17T01:27:12Z,2022-01-05 10:33:36.000000000,2021-11-17 00:00:00.000000000,49 days 10:33:36,49
40,112076,2021-11-17T17:18:37Z,2022-01-03 18:14:24.000000000,2021-11-17 00:00:00.000000000,47 days 18:14:24,47
41,112076,2021-11-18T01:13:34Z,2022-01-01 05:45:36.000000000,2021-11-18 00:00:00.000000000,44 days 05:45:36,44
42,112076,2021-11-19T01:08:40Z,2022-01-02 22:04:48.000000000,2021-11-19 00:00:00.000000000,44 days 22:04:48,44
44,112076,2021-11-23T08:47:11Z,2022-01-05 10:33:36.000000000,2021-11-23 00:00:00.000000000,43 days 10:33:36,43
43,112076,2021-11-23T00:51:15Z,2022-01-06 06:43:12.000000000,2021-11-23 00:00:00.000000000,44 days 06:43:12,44
45,112076,2021-11-26T00:58:54Z,2022-01-04 14:24:00.000000000,2021-11-26 00:00:00.000000000,39 days 14:24:00,39
46,112076,2021-11-27T17:12:24Z,2022-01-04 14:24:00.000000000,2021-11-27 00:00:00.000000000,38 days 14:24:00,38
47,112076,2021-11-28T17:23:57Z,2022-01-04 14:24:00.000000000,2021-11-28 00:00:00.000000000,37 days 14:24:00,37
48,112076,2021-11-30T01:27:28Z,2022-01-07 23:02:24.000000000,2021-11-30 00:00:00.000000000,38 days 23:02:24,38
49,112076,2021-11-30T17:03:21Z,2022-01-07 02:52:48.000000000,2021-11-30 00:00:00.000000000,38 days 02:52:48,38
