decision_date,best_prior
2021-11-12,44
2021-11-12,42
2021-11-12,48
2021-11-18,29
2021-11-23,43
2021-11-23,43
2021-11-26,43
2021-11-26,43
2021-11-27,33
2021-12-03,56
2021-12-14,61
2021-12-16,61
2021-12-16,58
2021-12-16,62
2021-12-19,58
2021-12-21,58
2021-12-21,58
2021-12-22,61
2021-12-22,61
2021-12-24,56
2021-12-24,67
2021-12-24,67
2021-12-30,56
2022-01-04,53
2022-01-04,49
2022-01-04,48
2022-01-04,53
2022-01-06,40
2022-01-07,40
2022-01-07,50
2022-01-07,37
2022-01-07,37
2022-01-07,38
2022-01-07,40
2022-01-10,33
2022-01-11,33
2022-01-11,33
2022-01-11,35
2022-01-13,32
2022-01-13,44
2022-01-13,44
2022-01-14,32
2022-01-14,32
2022-01-14,32
2022-01-14,49
2022-01-14,32
2022-01-14,42
2022-01-14,32
2022-01-14,32
2022-01-17,33
2022-01-17,33
2022-01-20,33
2022-01-20,33
2022-02-03,33
2022-02-03,33
