fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
51035,US,VA,Carroll County,county,,iso1:us#iso2:us-va#fips:51035,,29791,0.14,other,8.6,,0.55,0.6,,,0.3,2,2,1,4,0,,0,6599,139,,,,61,24,1,,9,2,1,,6,,13457,12316,2022-03-15,https://covidactnow.org/us/virginia-va/county/carroll_county,0.452,0.413,1,27181,3,,
51036,US,VA,Charles City County,county,,iso1:us#iso2:us-va#fips:51036,,6963,0.12,other,5.5,,0.94,1.19,,,,2,2,1,4,1,,4,1143,27,,,,,,,,,,,,0,,9532,9495,2022-03-15,https://covidactnow.org/us/virginia-va/county/charles_city_county,0.95,0.95,0,14207,3,,
51037,US,VA,Charlotte County,county,,iso1:us#iso2:us-va#fips:51037,,11880,0.03,other,30.1,,0.73,0.8,,,,3,0,3,4,0,,4,2400,46,,,,,,,,,,,,1,,6930,6438,2022-03-15,https://covidactnow.org/us/virginia-va/county/charlotte_county,0.583,0.542,1,13860,3,,
51041,US,VA,Chesterfield County,county,,iso1:us#iso2:us-va#fips:51041,,352802,0.048,other,17.0,,0.96,0.18,,,0.69,2,1,2,4,1,,0,71630,735,,,,904,662,14,,95,65,5,,128,,271749,245530,2022-03-15,https://covidactnow.org/us/virginia-va/county/chesterfield_county,0.77,0.696,0,544545,3,,
51043,US,VA,Clarke County,county,,iso1:us#iso2:us-va#fips:51043,,14619,0.052,other,11.7,,0.69,0.9,,,,2,1,2,4,0,,4,2605,40,,,,,,,,,,,,3,,10630,9773,2022-03-15,https://covidactnow.org/us/virginia-va/county/clarke_county,0.727,0.669,0,21357,2,,
51045,US,VA,Craig County,county,,iso1:us#iso2:us-va#fips:51045,,5131,0.039,other,5.6,,0.79,1.16,,,,1,1,1,4,0,,4,1110,15,,,,,,,,,,,,0,,2577,2396,2022-03-15,https://covidactnow.org/us/virginia-va/county/craig_county,0.502,0.467,0,5165,1,,
51047,US,VA,Culpeper County,county,,iso1:us#iso2:us-va#fips:51047,,52605,0.031,other,3.8,,0.35,0.48,,,0.64,1,1,1,4,0,,0,11445,142,,,,98,46,4,,6,3,1,,0,,36638,33824,2022-03-15,https://covidactnow.org/us/virginia-va/county/culpeper_county,0.696,0.643,1,71364,1,,
51049,US,VA,Cumberland County,county,,iso1:us#iso2:us-va#fips:51049,,9932,0.091,other,27.3,,0.96,0.89,,,,3,1,3,4,1,,4,1237,24,,,,,,,,,,,,0,,5577,5049,2022-03-15,https://covidactnow.org/us/virginia-va/county/cumberland_county,0.562,0.508,0,10893,3,,
51051,US,VA,Dickenson County,county,,iso1:us#iso2:us-va#fips:51051,,14318,0.14,other,23.9,,0.56,0.66,,,,2,2,2,4,0,,4,3320,47,,,,1,0,,,,,,,9,,7873,7014,2022-03-15,https://covidactnow.org/us/virginia-va/county/dickenson_county,0.55,0.49,2,15945,3,,
51053,US,VA,Dinwiddie County,county,,iso1:us#iso2:us-va#fips:51053,,28544,0.053,other,17.5,,0.79,0.64,,,,2,1,2,4,0,,4,5258,84,,,,,,,,,,,,3,,20350,19108,2022-03-15,https://covidactnow.org/us/virginia-va/county/dinwiddie_county,0.713,0.669,0,34918,3,,
51057,US,VA,Essex County,county,,iso1:us#iso2:us-va#fips:51057,,10953,0.079,other,2.6,,0.69,0.98,,,0.39,1,1,1,4,0,,0,2248,31,,,,33,22,1,,7,2,0,,1,,7369,6762,2022-03-15,https://covidactnow.org/us/virginia-va/county/essex_county,0.673,0.617,0,15148,1,,
51059,US,VA,Fairfax County,county,,iso1:us#iso2:us-va#fips:51059,,1147532,0.034,other,9.7,,0.9,0.13,,,0.75,1,1,1,4,0,,1,174218,1411,,,,1604,1151,34,,229,172,6,,237,,1013821,914706,2022-03-15,https://covidactnow.org/us/virginia-va/county/fairfax_county,0.883,0.797,10,2024403,2,,
51061,US,VA,Fauquier County,county,,iso1:us#iso2:us-va#fips:51061,,71222,0.046,other,7.6,,0.73,0.5,,,0.63,1,1,1,4,0,,0,12843,141,,,,66,31,3,,10,6,1,,18,,57552,52700,2022-03-15,https://covidactnow.org/us/virginia-va/county/fauquier_county,0.808,0.74,1,109702,2,,
51063,US,VA,Floyd County,county,,iso1:us#iso2:us-va#fips:51063,,15749,0.083,other,5.4,,0.52,0.71,,,,1,1,1,4,0,,4,2537,46,,,,,,,,,,,,1,,8792,8455,2022-03-15,https://covidactnow.org/us/virginia-va/county/floyd_county,0.558,0.537,1,17217,2,,
51065,US,VA,Fluvanna County,county,,iso1:us#iso2:us-va#fips:51065,,27270,0.028,other,7.9,,0.52,0.76,,,,1,0,1,4,0,,4,4928,42,,,,,,,,,,,,4,,20117,18897,2022-03-15,https://covidactnow.org/us/virginia-va/county/fluvanna_county,0.738,0.693,0,41927,2,,
51067,US,VA,Franklin County,county,,iso1:us#iso2:us-va#fips:51067,,56042,0.122,other,7.6,,0.6,0.59,,,0.71,2,2,1,4,0,,1,10684,185,,,,25,19,3,,4,2,1,,12,,30946,28056,2022-03-15,https://covidactnow.org/us/virginia-va/county/franklin_county,0.552,0.501,0,63939,3,,
51069,US,VA,Frederick County,county,,iso1:us#iso2:us-va#fips:51069,,89313,0.061,other,8.2,,0.6,0.41,,,,1,1,1,4,0,,4,20416,235,,,,,,,,,,,,16,,57195,52310,2022-03-15,https://covidactnow.org/us/virginia-va/county/frederick_county,0.64,0.586,2,113284,2,,
51071,US,VA,Giles County,county,,iso1:us#iso2:us-va#fips:51071,,16720,0.11,other,13.7,,0.54,0.7,,,0.75,2,2,2,4,0,,1,4030,46,,,,25,21,3,,4,3,0,,2,,9972,9184,2022-03-15,https://covidactnow.org/us/virginia-va/county/giles_county,0.596,0.549,1,20190,3,,
51073,US,VA,Gloucester County,county,,iso1:us#iso2:us-va#fips:51073,,37348,0.065,other,9.9,,0.68,0.68,,,0.76,1,1,1,4,0,,1,7271,101,,,,104,31,2,,12,9,1,,9,,26533,24598,2022-03-15,https://covidactnow.org/us/virginia-va/county/gloucester_county,0.71,0.659,1,53446,2,,
51075,US,VA,Goochland County,county,,iso1:us#iso2:us-va#fips:51075,,23753,0.043,other,8.4,,0.59,0.78,,,,1,1,1,4,0,,4,3885,46,,,,,,,,,,,,6,,19076,18244,2022-03-15,https://covidactnow.org/us/virginia-va/county/goochland_county,0.803,0.768,1,40208,2,,
51077,US,VA,Grayson County,county,,iso1:us#iso2:us-va#fips:51077,,15550,0.163,other,32.2,,0.58,0.62,,,,3,2,3,4,0,,4,4014,79,,,,,,,,,,,,8,,7861,7176,2022-03-15,https://covidactnow.org/us/virginia-va/county/grayson_county,0.506,0.461,2,15866,3,,
51079,US,VA,Greene County,county,,iso1:us#iso2:us-va#fips:51079,,19819,0.067,other,15.1,,0.65,0.71,,,,2,1,2,4,0,,4,3992,61,,,,,,,,,,,,7,,14152,13192,2022-03-15,https://covidactnow.org/us/virginia-va/county/greene_county,0.714,0.666,1,28784,3,,
51081,US,VA,Greensville County,county,,iso1:us#iso2:us-va#fips:51081,,11336,0.044,other,13.5,,0.77,0.91,,,,2,1,2,4,0,,4,3313,37,,,,,,,,,,,,3,,6558,5563,2022-03-15,https://covidactnow.org/us/virginia-va/county/greensville_county,0.579,0.491,0,12549,2,,
51083,US,VA,Halifax County,county,,iso1:us#iso2:us-va#fips:51083,,33911,0.067,other,19.0,,0.73,0.56,,,0.56,2,1,2,4,0,,0,6983,150,,,,81,37,2,,12,6,1,,8,,21071,18778,2022-03-15,https://covidactnow.org/us/virginia-va/county/halifax_county,0.621,0.554,1,42717,3,,
51085,US,VA,Hanover County,county,,iso1:us#iso2:us-va#fips:51085,,107766,0.052,other,7.6,,0.61,0.33,,,0.59,1,1,1,4,0,,0,21508,269,,,,225,202,8,,27,16,1,,3,,80725,77558,2022-03-15,https://covidactnow.org/us/virginia-va/county/hanover_county,0.749,0.72,2,167006,2,,
51087,US,VA,Henrico County,county,,iso1:us#iso2:us-va#fips:51087,,330818,0.045,other,8.8,,0.73,0.23,,,0.66,1,1,1,4,0,,0,63683,889,,,,1045,677,25,,72,48,3,,47,,253062,233763,2022-03-15,https://covidactnow.org/us/virginia-va/county/henrico_county,0.765,0.707,6,520115,2,,
