fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
51161,US,VA,Roanoke County,county,,iso1:us#iso2:us-va#fips:51161,,94186,0.057,other,17.5,,0.85,0.3,,,,2,1,2,4,0,,4,20960,265,,,,,,,,,,,,0,,70240,66863,2022-03-15,https://covidactnow.org/us/virginia-va/county/roanoke_county,0.746,0.71,0,142382,3,,
51163,US,VA,Rockbridge County,county,,iso1:us#iso2:us-va#fips:51163,,22573,0.042,other,6.3,,0.57,0.93,,,,1,1,1,4,0,,4,3223,75,,,,,,,,,,,,7,,14129,13377,2022-03-15,https://covidactnow.org/us/virginia-va/county/rockbridge_county,0.626,0.593,0,29731,1,,
51165,US,VA,Rockingham County,county,,iso1:us#iso2:us-va#fips:51165,,81948,0.095,other,5.9,,0.53,0.53,,,,1,1,1,4,0,,4,14401,227,,,,,,,,,,,,0,,48251,45734,2022-03-15,https://covidactnow.org/us/virginia-va/county/rockingham_county,0.589,0.558,2,100425,2,,
51167,US,VA,Russell County,county,,iso1:us#iso2:us-va#fips:51167,,26586,0.044,other,10.7,,0.46,0.54,,,0.3,2,1,2,4,0,,0,6795,103,,,,23,11,2,,7,2,0,,3,,14725,13271,2022-03-15,https://covidactnow.org/us/virginia-va/county/russell_county,0.554,0.499,1,30793,2,,
51169,US,VA,Scott County,county,,iso1:us#iso2:us-va#fips:51169,,21566,0.032,other,2.6,,0.36,0.65,,,,1,1,1,4,0,,4,5703,102,,,,,,,,,,,,2,,11456,10424,2022-03-15,https://covidactnow.org/us/virginia-va/county/scott_county,0.531,0.483,0,22897,1,,
51171,US,VA,Shenandoah County,county,,iso1:us#iso2:us-va#fips:51171,,43616,0.074,other,9.8,,0.64,0.62,,,,1,1,1,4,0,,4,10752,220,,,,25,16,1,,,,,,9,,26705,24425,2022-03-15,https://covidactnow.org/us/virginia-va/county/shenandoah_county,0.612,0.56,1,53958,2,,
51173,US,VA,Smyth County,county,,iso1:us#iso2:us-va#fips:51173,,30104,0.102,other,17.6,,0.43,0.46,,,0.29,2,2,2,4,0,,0,8690,165,,,,15,19,2,,3,1,0,,5,,17518,15693,2022-03-15,https://covidactnow.org/us/virginia-va/county/smyth_county,0.582,0.521,0,35338,3,,
51175,US,VA,Southampton County,county,,iso1:us#iso2:us-va#fips:51175,,17631,0.046,other,3.2,,0.83,1.22,,,,1,1,1,4,0,,4,3268,89,,,,,,,,,,,,2,,10961,9295,2022-03-15,https://covidactnow.org/us/virginia-va/county/southampton_county,0.622,0.527,1,21242,1,,
51177,US,VA,Spotsylvania County,county,,iso1:us#iso2:us-va#fips:51177,,136215,0.042,other,8.5,,0.82,0.31,,,0.54,1,1,1,4,0,,0,26438,280,,,,141,100,6,,12,6,0,,28,,89557,80147,2022-03-15,https://covidactnow.org/us/virginia-va/county/spotsylvania_county,0.657,0.588,2,177345,2,,
51179,US,VA,Stafford County,county,,iso1:us#iso2:us-va#fips:51179,,152882,0.032,other,12.5,,0.74,0.33,,,1.0,2,1,2,4,0,,3,29884,167,,,,60,60,1,,4,4,1,,0,,110176,97880,2022-03-15,https://covidactnow.org/us/virginia-va/county/stafford_county,0.721,0.64,1,205641,2,,
51181,US,VA,Surry County,county,,iso1:us#iso2:us-va#fips:51181,,6422,0.046,other,9.3,,0.87,1.24,,,,1,1,1,4,0,,4,1079,19,,,,,,,,,,,,2,,4369,3976,2022-03-15,https://covidactnow.org/us/virginia-va/county/surry_county,0.68,0.619,0,8847,2,,
51183,US,VA,Sussex County,county,,iso1:us#iso2:us-va#fips:51183,,11159,0.013,other,5.7,,0.81,1.06,,,,1,0,1,4,0,,4,2409,39,,,,,,,,,,,,0,,6330,5586,2022-03-15,https://covidactnow.org/us/virginia-va/county/sussex_county,0.567,0.501,0,12599,1,,
51185,US,VA,Tazewell County,county,,iso1:us#iso2:us-va#fips:51185,,40595,0.112,other,17.2,,0.62,0.41,,,0.62,2,2,2,4,0,,0,10045,159,,,,135,58,2,,12,7,0,,15,,20668,17779,2022-03-15,https://covidactnow.org/us/virginia-va/county/tazewell_county,0.509,0.438,0,41566,3,,
51187,US,VA,Warren County,county,,iso1:us#iso2:us-va#fips:51187,,40164,0.06,other,8.5,,0.61,0.7,,,,1,1,1,4,0,,4,8435,146,,,,30,21,1,,5,4,1,,9,,22818,20527,2022-03-15,https://covidactnow.org/us/virginia-va/county/warren_county,0.568,0.511,0,44301,2,,
51191,US,VA,Washington County,county,,iso1:us#iso2:us-va#fips:51191,,53740,0.075,other,7.7,,0.44,0.45,,,0.31,1,1,1,4,0,,0,13651,211,,,,85,73,12,,22,6,4,,11,,31940,28995,2022-03-15,https://covidactnow.org/us/virginia-va/county/washington_county,0.594,0.54,1,67986,2,,
51193,US,VA,Westmoreland County,county,,iso1:us#iso2:us-va#fips:51193,,18015,0.022,other,4.8,,0.74,0.99,,,,1,0,1,4,0,,4,3225,50,,,,,,,,,,,,1,,12156,11152,2022-03-15,https://covidactnow.org/us/virginia-va/county/westmoreland_county,0.675,0.619,0,24830,1,,
51195,US,VA,Wise County,county,,iso1:us#iso2:us-va#fips:51195,,37383,0.09,other,25.2,,0.62,0.41,,,0.4,3,1,3,4,0,,0,10187,189,,,,40,48,12,,11,4,1,,16,,20279,17553,2022-03-15,https://covidactnow.org/us/virginia-va/county/wise_county,0.542,0.47,3,40429,3,,
51197,US,VA,Wythe County,county,,iso1:us#iso2:us-va#fips:51197,,28684,0.103,other,18.9,,0.59,0.56,,,0.79,2,2,2,4,0,,1,7441,137,,,,25,15,0,,6,4,1,,16,,14761,13096,2022-03-15,https://covidactnow.org/us/virginia-va/county/wythe_county,0.515,0.457,0,28705,3,,
51199,US,VA,York County,county,,iso1:us#iso2:us-va#fips:51199,,68280,0.05,other,7.7,,0.72,0.62,,,,1,1,1,4,0,,4,9701,104,,,,,,,,,,,,16,,60691,55901,2022-03-15,https://covidactnow.org/us/virginia-va/county/york_county,0.889,0.819,0,110892,2,,
51510,US,VA,Alexandria city,county,,iso1:us#iso2:us-va#fips:51510,,159428,0.038,other,9.2,,0.87,0.32,,,0.58,1,1,1,4,0,,0,29837,184,,,,345,200,8,,36,20,2,,28,,134962,121548,2022-03-15,https://covidactnow.org/us/virginia-va/county/alexandria_city,0.847,0.762,0,257956,2,,
51520,US,VA,Bristol city,county,,iso1:us#iso2:us-va#fips:51520,,16762,0.066,other,5.1,,0.45,0.75,,,,1,1,1,4,0,,4,4370,74,,,,,,,,,,,,1,,9856,8810,2022-03-15,https://covidactnow.org/us/virginia-va/county/bristol_city,0.588,0.526,2,20007,1,,
51530,US,VA,Buena Vista city,county,,iso1:us#iso2:us-va#fips:51530,,6478,0.11,other,19.8,,0.66,1.0,,,,2,2,2,4,0,,4,1997,39,,,,,,,,,,,,4,,3993,3696,2022-03-15,https://covidactnow.org/us/virginia-va/county/buena_vista_city,0.616,0.571,0,7956,3,,
51540,US,VA,Charlottesville city,county,,iso1:us#iso2:us-va#fips:51540,,47266,0.033,other,8.2,,0.52,0.46,,,0.58,1,1,1,4,0,,0,10064,77,,,,771,590,32,,117,67,8,,7,,35243,32075,2022-03-15,https://covidactnow.org/us/virginia-va/county/charlottesville_city,0.746,0.679,1,75407,2,,
51550,US,VA,Chesapeake city,county,,iso1:us#iso2:us-va#fips:51550,,244835,0.036,other,6.8,,0.65,0.28,,,0.77,1,1,1,4,0,,1,49547,473,,,,310,261,6,,28,21,1,,18,,204824,186086,2022-03-15,https://covidactnow.org/us/virginia-va/county/chesapeake_city,0.837,0.76,0,362516,1,,
51570,US,VA,Colonial Heights city,county,,iso1:us#iso2:us-va#fips:51570,,17370,0.025,other,13.2,,0.59,0.77,,,,2,0,2,4,0,,4,4794,93,,,,,,,,,,,,5,,11379,9955,2022-03-15,https://covidactnow.org/us/virginia-va/county/colonial_heights_city,0.655,0.573,0,22741,2,,
51580,US,VA,Covington city,county,,iso1:us#iso2:us-va#fips:51580,,5538,0.15,other,252.8,,1.5,0.83,,,,5,2,5,4,3,,4,1096,25,,,,,,,,,,,,66,,3111,2685,2022-03-15,https://covidactnow.org/us/virginia-va/county/covington_city,0.562,0.485,0,5975,3,,
51590,US,VA,Danville city,county,,iso1:us#iso2:us-va#fips:51590,,40044,0.065,other,42.5,,0.95,0.32,,,0.62,3,1,3,4,1,,0,11049,271,,,,228,144,9,,26,16,2,,11,,24499,21286,2022-03-15,https://covidactnow.org/us/virginia-va/county/danville_city,0.612,0.532,6,48731,3,,
51595,US,VA,Emporia city,county,,iso1:us#iso2:us-va#fips:51595,,5346,0.333,other,29.4,,0.76,0.92,,,,3,3,3,4,0,,4,1147,53,,,,40,10,2,,5,0,,,0,,2953,2550,2022-03-15,https://covidactnow.org/us/virginia-va/county/emporia_city,0.552,0.477,0,5855,3,,
51600,US,VA,Fairfax city,county,,iso1:us#iso2:us-va#fips:51600,,24019,,other,2.1,,0.82,1.26,,,,1,4,1,4,0,,4,1954,43,,,,,,,,,,,,0,,24646,22629,2022-03-15,https://covidactnow.org/us/virginia-va/county/fairfax_city,0.95,0.942,0,46392,1,,
51610,US,VA,Falls Church city,county,,iso1:us#iso2:us-va#fips:51610,,14617,0.024,other,13.7,,0.77,0.99,,,,2,0,2,4,0,,4,1939,16,,,,,,,,,,,,4,,12561,11296,2022-03-15,https://covidactnow.org/us/virginia-va/county/falls_church_city,0.859,0.773,0,27128,2,,
51620,US,VA,Franklin city,county,,iso1:us#iso2:us-va#fips:51620,,7967,0.02,other,1.8,,0.93,1.19,,,0.49,1,0,1,4,1,,0,2457,51,,,,34,24,1,,7,3,0,,0,,5895,5049,2022-03-15,https://covidactnow.org/us/virginia-va/county/franklin_city,0.74,0.634,1,11497,1,,
51630,US,VA,Fredericksburg city,county,,iso1:us#iso2:us-va#fips:51630,,29036,0.019,other,23.4,,0.84,0.67,,,1.0,2,0,2,4,0,,3,5290,38,,,,369,369,32,,32,32,6,,0,,18504,16494,2022-03-15,https://covidactnow.org/us/virginia-va/county/fredericksburg_city,0.637,0.568,3,37138,3,,
51640,US,VA,Galax city,county,,iso1:us#iso2:us-va#fips:51640,,6347,0.049,other,12.4,,0.5,0.87,,,0.48,2,1,2,4,0,,0,2542,76,,,,86,27,4,,8,3,1,,0,,4105,3676,2022-03-15,https://covidactnow.org/us/virginia-va/county/galax_city,0.647,0.579,0,8203,2,,
51650,US,VA,Hampton city,county,,iso1:us#iso2:us-va#fips:51650,,134510,0.041,other,5.7,,0.62,0.36,,,0.62,1,1,1,4,0,,0,27445,315,,,,221,103,1,,24,15,0,,9,,119852,110496,2022-03-15,https://covidactnow.org/us/virginia-va/county/hampton_city,0.891,0.821,1,204486,1,,
51660,US,VA,Harrisonburg city,county,,iso1:us#iso2:us-va#fips:51660,,53016,0.034,other,7.5,,0.51,0.6,,,0.23,1,1,1,4,0,,0,13198,152,,,,262,145,6,,32,7,0,,3,,31848,29206,2022-03-15,https://covidactnow.org/us/virginia-va/county/harrisonburg_city,0.601,0.551,0,64587,2,,
51670,US,VA,Hopewell city,county,,iso1:us#iso2:us-va#fips:51670,,22529,0.032,other,9.6,,0.67,0.91,,,0.53,1,1,1,4,0,,0,6103,119,,,,124,83,5,,11,5,1,,0,,13334,12002,2022-03-15,https://covidactnow.org/us/virginia-va/county/hopewell_city,0.592,0.533,0,24388,2,,
51678,US,VA,Lexington city,county,,iso1:us#iso2:us-va#fips:51678,,7446,0.044,other,23.0,,0.64,0.89,,,0.51,2,1,2,4,0,,0,2828,39,,,,25,17,1,,5,2,0,,0,,4634,4248,2022-03-15,https://covidactnow.org/us/virginia-va/county/lexington_city,0.622,0.571,0,10203,3,,
51680,US,VA,Lynchburg city,county,,iso1:us#iso2:us-va#fips:51680,,82168,0.056,other,26.9,,0.79,0.25,,,0.88,3,1,3,4,0,,3,20051,266,,,,567,411,39,,61,53,5,,54,,42438,38250,2022-03-15,https://covidactnow.org/us/virginia-va/county/lynchburg_city,0.516,0.466,0,88726,3,,
51683,US,VA,Manassas city,county,,iso1:us#iso2:us-va#fips:51683,,41085,0.011,other,4.9,,0.35,0.61,,,0.36,1,0,1,4,0,,0,9025,70,,,,136,75,4,,19,7,2,,3,,,,2022-03-15,https://covidactnow.org/us/virginia-va/county/manassas_city,,,0,,1,,
51685,US,VA,Manassas Park city,county,,iso1:us#iso2:us-va#fips:51685,,17478,0.333,other,5.7,,0.14,0.41,,,,3,3,1,4,0,,4,3687,25,,,,,,,,,,,,2,,,,2022-03-15,https://covidactnow.org/us/virginia-va/county/manassas_park_city,,,0,,3,,
51690,US,VA,Martinsville city,county,,iso1:us#iso2:us-va#fips:51690,,12554,0.158,other,21.6,,0.68,0.97,,,,2,2,2,4,0,,4,3197,113,,,,,,,,,,,,2,,7913,7132,2022-03-15,https://covidactnow.org/us/virginia-va/county/martinsville_city,0.63,0.568,0,16288,3,,
51700,US,VA,Newport News city,county,,iso1:us#iso2:us-va#fips:51700,,179225,0.037,other,4.4,,0.67,0.39,,,0.7,1,1,1,4,0,,0,35972,382,,,,473,363,10,,77,54,3,,24,,132363,119178,2022-03-15,https://covidactnow.org/us/virginia-va/county/newport_news_city,0.739,0.665,1,242785,1,,
51710,US,VA,Norfolk city,county,,iso1:us#iso2:us-va#fips:51710,,242742,0.033,other,26.2,,1.28,0.29,,,0.52,3,1,3,4,2,,0,41706,459,,,,1225,925,12,,135,69,3,,125,,245137,235462,2022-03-15,https://covidactnow.org/us/virginia-va/county/norfolk_city,0.95,0.95,1,378755,3,,
51720,US,VA,Norton city,county,,iso1:us#iso2:us-va#fips:51720,,3981,0.066,other,22.4,,0.62,1.02,,,,2,1,2,4,0,,4,1297,22,,,,30,35,1,,6,5,,,0,,2388,2032,2022-03-15,https://covidactnow.org/us/virginia-va/county/norton_city,0.6,0.51,0,4758,3,,
51730,US,VA,Petersburg city,county,,iso1:us#iso2:us-va#fips:51730,,31346,0.017,other,22.8,,0.52,0.64,,,0.78,2,0,2,4,0,,1,8282,140,,,,264,177,13,,28,22,3,,0,,20621,18125,2022-03-15,https://covidactnow.org/us/virginia-va/county/petersburg_city,0.658,0.578,2,39045,3,,
51735,US,VA,Poquoson city,county,,iso1:us#iso2:us-va#fips:51735,,12271,0.138,other,9.3,,0.95,1.08,,,,2,2,1,4,1,,4,2327,29,,,,,,,,,,,,3,,8805,7960,2022-03-15,https://covidactnow.org/us/virginia-va/county/poquoson_city,0.718,0.649,0,18476,3,,
51740,US,VA,Portsmouth city,county,,iso1:us#iso2:us-va#fips:51740,,94398,0.022,other,3.7,,0.54,0.53,,,0.38,1,0,1,4,0,,0,20649,313,,,,201,139,7,,36,13,1,,1,,66320,59498,2022-03-15,https://covidactnow.org/us/virginia-va/county/portsmouth_city,0.703,0.63,1,118995,1,,
51750,US,VA,Radford city,county,,iso1:us#iso2:us-va#fips:51750,,18249,0.128,other,11.7,,0.52,0.7,,,,2,2,2,4,0,,4,4890,47,,,,,,,,,,,,4,,9712,8957,2022-03-15,https://covidactnow.org/us/virginia-va/county/radford_city,0.532,0.491,0,19293,3,,
51760,US,VA,Richmond city,county,,iso1:us#iso2:us-va#fips:51760,,230436,0.043,other,6.4,,0.74,0.28,,,0.93,1,1,1,4,0,,3,43948,477,,,,929,769,53,,130,121,39,,17,,146090,133837,2022-03-15,https://covidactnow.org/us/virginia-va/county/richmond_city,0.634,0.581,1,298265,1,,
51770,US,VA,Roanoke city,county,,iso1:us#iso2:us-va#fips:51770,,99143,0.023,other,17.3,,0.94,0.36,,,0.83,2,0,2,4,1,,2,20917,348,,,,756,539,50,,95,79,11,,80,,63666,58863,2022-03-15,https://covidactnow.org/us/virginia-va/county/roanoke_city,0.642,0.594,4,125396,3,,
51775,US,VA,Salem city,county,,iso1:us#iso2:us-va#fips:51775,,25301,0.058,other,1.1,,0.77,1.24,,,0.76,1,1,1,4,0,,1,5602,96,,,,354,250,21,,36,27,3,,2,,18693,18637,2022-03-15,https://covidactnow.org/us/virginia-va/county/salem_city,0.739,0.737,0,37082,1,,
51790,US,VA,Staunton city,county,,iso1:us#iso2:us-va#fips:51790,,24932,0.07,other,16.6,,0.65,0.72,,,,2,1,2,4,0,,4,5579,107,,,,,,,,,,,,8,,17750,16788,2022-03-15,https://covidactnow.org/us/virginia-va/county/staunton_city,0.712,0.673,2,38284,3,,
51800,US,VA,Suffolk city,county,,iso1:us#iso2:us-va#fips:51800,,92108,0.029,other,2.8,,0.53,0.61,,,0.66,1,0,1,4,0,,0,18546,289,,,,181,152,3,,16,10,0,,4,,65261,57797,2022-03-15,https://covidactnow.org/us/virginia-va/county/suffolk_city,0.709,0.627,0,125942,1,,
51810,US,VA,Virginia Beach city,county,,iso1:us#iso2:us-va#fips:51810,,449974,0.028,other,5.1,,0.72,0.24,,,0.38,1,0,1,4,0,,0,88721,796,,,,517,425,8,,79,30,0,,52,,373301,345289,2022-03-15,https://covidactnow.org/us/virginia-va/county/virginia_beach_city,0.83,0.767,2,684196,1,,
51820,US,VA,Waynesboro city,county,,iso1:us#iso2:us-va#fips:51820,,22630,0.076,other,10.1,,0.61,0.82,,,,2,1,2,4,0,,4,5296,60,,,,,,,,,,,,5,,15179,14329,2022-03-15,https://covidactnow.org/us/virginia-va/county/waynesboro_city,0.671,0.633,0,31506,2,,
51830,US,VA,Williamsburg city,county,,iso1:us#iso2:us-va#fips:51830,,14954,0.133,other,16.2,,0.81,0.89,,,,2,2,2,4,0,,4,1725,21,,,,,,,,,,,,9,,9286,8238,2022-03-15,https://covidactnow.org/us/virginia-va/county/williamsburg_city,0.621,0.551,1,18494,3,,
51840,US,VA,Winchester city,county,,iso1:us#iso2:us-va#fips:51840,,28078,0.062,other,15.8,,0.91,0.82,,,1.01,2,1,2,4,1,,3,6274,76,,,,426,271,15,,36,36,2,,4,,19639,17025,2022-03-15,https://covidactnow.org/us/virginia-va/county/winchester_city,0.699,0.606,0,38409,3,,
