,user_id,time,0,date,pred_duration,pred_duration_int
10,114156,2021-11-13T05:53:52Z,2021-12-27 04:48:00.000000000,2021-11-13 00:00:00.000000000,44 days 04:48:00,44
11,114156,2021-11-24T02:13:32Z,2021-12-26 08:38:24.000000000,2021-11-24 00:00:00.000000000,32 days 08:38:24,32
14,114156,2021-11-27T15:03:49Z,2022-01-02 01:55:12.000000000,2021-11-27 00:00:00.000000000,36 days 01:55:12,36
13,114156,2021-11-27T14:58:15Z,2021-12-28 21:07:11.999999999,2021-11-27 00:00:00.000000000,31 days 21:07:11.999999999,31
12,114156,2021-11-27T14:57:19Z,2021-12-28 21:07:11.999999999,2021-11-27 00:00:00.000000000,31 days 21:07:11.999999999,31
15,114156,2021-12-02T19:36:12Z,2022-01-05 10:33:36.000000000,2021-12-02 00:00:00.000000000,34 days 10:33:36,34
16,114156,2021-12-02T19:36:50Z,2022-01-08 19:12:00.000000000,2021-12-02 00:00:00.000000000,37 days 19:12:00,37
18,114156,2021-12-02T19:45:03Z,2022-01-09 15:21:36.000000000,2021-12-02 00:00:00.000000000,38 days 15:21:36,38
19,114156,2021-12-02T19:45:25Z,2022-01-09 15:21:36.000000000,2021-12-02 00:00:00.000000000,38 days 15:21:36,38
17,114156,2021-12-02T19:37:29Z,2022-01-08 19:12:00.000000000,2021-12-02 00:00:00.000000000,37 days 19:12:00,37
107,114156,2021-12-03T17:39:51Z,2022-01-16 12:28:48.000000000,2021-12-03 00:00:00.000000000,44 days 12:28:48,44
108,114156,2021-12-06T17:24:53Z,2022-01-19 00:57:36.000000000,2021-12-06 00:00:00.000000000,44 days 00:57:36,44
109,114156,2021-12-08T14:56:57Z,2022-01-18 04:48:00.000000000,2021-12-08 00:00:00.000000000,41 days 04:48:00,41
110,114156,2021-12-09T21:25:01Z,2022-01-18 04:48:00.000000000,2021-12-09 00:00:00.000000000,40 days 04:48:00,40
111,114156,2021-12-10T16:18:47Z,2022-01-18 04:48:00.000000000,2021-12-10 00:00:00.000000000,39 days 04:48:00,39
112,114156,2021-12-13T15:22:18Z,2022-01-19 00:57:36.000000000,2021-12-13 00:00:00.000000000,37 days 00:57:36,37
113,114156,2021-12-14T23:57:05Z,2022-01-19 21:07:11.999999999,2021-12-14 00:00:00.000000000,36 days 21:07:11.999999999,36
116,114156,2021-12-16T22:28:44Z,2022-01-20 17:16:47.999999999,2021-12-16 00:00:00.000000000,35 days 17:16:47.999999999,35
115,114156,2021-12-16T22:28:32Z,2022-01-20 17:16:47.999999999,2021-12-16 00:00:00.000000000,35 days 17:16:47.999999999,35
114,114156,2021-12-16T22:27:28Z,2022-01-20 17:16:47.999999999,2021-12-16 00:00:00.000000000,35 days 17:16:47.999999999,35
118,114156,2021-12-17T16:01:26Z,2022-01-20 17:16:47.999999999,2021-12-17 00:00:00.000000000,34 days 17:16:47.999999999,34
117,114156,2021-12-17T16:00:41Z,2022-01-21 13:26:24.000000000,2021-12-17 00:00:00.000000000,35 days 13:26:24,35
119,114156,2021-12-20T15:10:08Z,2022-01-21 13:26:24.000000000,2021-12-20 00:00:00.000000000,32 days 13:26:24,32
121,114156,2021-12-23T00:38:37Z,2022-01-21 13:26:24.000000000,2021-12-23 00:00:00.000000000,29 days 13:26:24,29
122,114156,2021-12-23T00:39:11Z,2022-01-21 13:26:24.000000000,2021-12-23 00:00:00.000000000,29 days 13:26:24,29
120,114156,2021-12-23T00:36:54Z,2022-01-21 13:26:24.000000000,2021-12-23 00:00:00.000000000,29 days 13:26:24,29
123,114156,2021-12-23T15:29:49Z,2022-01-21 13:26:24.000000000,2021-12-23 00:00:00.000000000,29 days 13:26:24,29
124,114156,2021-12-24T15:26:07Z,2022-01-21 13:26:24.000000000,2021-12-24 00:00:00.000000000,28 days 13:26:24,28
88,114156,2021-12-26T06:47:13Z,2022-01-19 00:57:36.000000000,2021-12-26 00:00:00.000000000,24 days 00:57:36,24
89,114156,2021-12-27T18:14:03Z,2022-01-19 00:57:36.000000000,2021-12-27 00:00:00.000000000,23 days 00:57:36,23
92,114156,2021-12-29T16:52:24Z,2022-01-19 00:57:36.000000000,2021-12-29 00:00:00.000000000,21 days 00:57:36,21
90,114156,2021-12-29T06:31:49Z,2022-01-19 00:57:36.000000000,2021-12-29 00:00:00.000000000,21 days 00:57:36,21
93,114156,2021-12-29T20:26:07Z,2022-01-19 00:57:36.000000000,2021-12-29 00:00:00.000000000,21 days 00:57:36,21
91,114156,2021-12-29T06:32:34Z,2022-01-19 00:57:36.000000000,2021-12-29 00:00:00.000000000,21 days 00:57:36,21
94,114156,2021-12-30T15:30:25Z,2022-01-17 08:38:23.999999999,2021-12-30 00:00:00.000000000,18 days 08:38:23.999999999,18
97,114156,2021-12-30T21:49:38Z,2022-01-18 04:48:00.000000000,2021-12-30 00:00:00.000000000,19 days 04:48:00,19
98,114156,2021-12-30T21:50:36Z,2022-01-18 04:48:00.000000000,2021-12-30 00:00:00.000000000,19 days 04:48:00,19
96,114156,2021-12-30T21:49:12Z,2022-01-18 04:48:00.000000000,2021-12-30 00:00:00.000000000,19 days 04:48:00,19
95,114156,2021-12-30T21:47:35Z,2022-01-17 08:38:23.999999999,2021-12-30 00:00:00.000000000,18 days 08:38:23.999999999,18
100,114156,2021-12-30T21:52:25Z,2022-01-18 04:48:00.000000000,2021-12-30 00:00:00.000000000,19 days 04:48:00,19
99,114156,2021-12-30T21:51:55Z,2022-01-18 04:48:00.000000000,2021-12-30 00:00:00.000000000,19 days 04:48:00,19
101,114156,2021-12-31T15:58:15Z,2022-01-16 12:28:48.000000000,2021-12-31 00:00:00.000000000,16 days 12:28:48,16
102,114156,2022-01-03T14:46:53Z,2022-01-15 16:19:12.000000000,2022-01-03 00:00:00.000000000,12 days 16:19:12,12
103,114156,2022-01-04T15:50:06Z,2022-01-14 20:09:36.000000000,2022-01-04 00:00:00.000000000,10 days 20:09:36,10
104,114156,2022-01-04T15:51:21Z,2022-01-14 20:09:36.000000000,2022-01-04 00:00:00.000000000,10 days 20:09:36,10
105,114156,2022-01-05T22:53:51Z,2022-01-13 03:50:24.000000000,2022-01-05 00:00:00.000000000,8 days 03:50:24,8
106,114156,2022-01-05T22:56:17Z,2022-01-13 03:50:24.000000000,2022-01-05 00:00:00.000000000,8 days 03:50:24,8
107,114156,2022-01-06T15:08:41Z,2022-01-12 07:40:48.000000000,2022-01-06 00:00:00.000000000,6 days 07:40:48,6
108,114156,2022-01-07T16:29:48Z,2022-01-12 07:40:48.000000000,2022-01-07 00:00:00.000000000,5 days 07:40:48,5
