,user_id,time,0,date,pred_duration,pred_duration_int
69,112197,2021-11-12T18:56:24Z,2021-11-13 12:28:48,2021-11-12 00:00:00,1 days 12:28:48,1
68,112197,2021-11-12T18:54:17Z,2021-11-13 12:28:48,2021-11-12 00:00:00,1 days 12:28:48,1
67,112197,2021-11-12T18:51:00Z,2021-11-16 00:57:36,2021-11-12 00:00:00,4 days 00:57:36,4
71,112197,2021-11-17T16:20:29Z,2021-11-16 00:57:36,2021-11-17 00:00:00,-1 days +00:57:36,-1
70,112197,2021-11-17T16:18:51Z,2021-11-16 00:57:36,2021-11-17 00:00:00,-1 days +00:57:36,-1
72,112197,2021-11-18T19:36:57Z,2021-11-16 00:57:36,2021-11-18 00:00:00,-2 days +00:57:36,-2
80,112197,2021-12-03T22:08:39Z,2021-12-06 08:38:24,2021-12-03 00:00:00,3 days 08:38:24,3
81,112197,2021-12-07T19:25:06Z,2021-12-03 00:00:00,2021-12-07 00:00:00,-4 days +00:00:00,-4
82,112197,2021-12-07T19:25:12Z,2021-12-03 00:00:00,2021-12-07 00:00:00,-4 days +00:00:00,-4
84,112197,2021-12-14T14:34:25Z,2021-12-03 00:00:00,2021-12-14 00:00:00,-11 days +00:00:00,-11
83,112197,2021-12-14T14:34:17Z,2021-12-03 00:00:00,2021-12-14 00:00:00,-11 days +00:00:00,-11
85,112197,2021-12-16T00:38:56Z,2021-12-03 00:00:00,2021-12-16 00:00:00,-13 days +00:00:00,-13
86,112197,2021-12-16T00:39:16Z,2021-12-03 00:00:00,2021-12-16 00:00:00,-13 days +00:00:00,-13
87,112197,2021-12-19T11:58:14Z,2021-12-03 00:00:00,2021-12-19 00:00:00,-16 days +00:00:00,-16
88,112197,2021-12-19T11:58:46Z,2021-12-03 00:00:00,2021-12-19 00:00:00,-16 days +00:00:00,-16
89,112197,2021-12-21T12:01:26Z,2021-12-03 00:00:00,2021-12-21 00:00:00,-18 days +00:00:00,-18
90,112197,2021-12-22T20:57:50Z,2021-12-03 00:00:00,2021-12-22 00:00:00,-19 days +00:00:00,-19
91,112197,2021-12-22T20:59:10Z,2021-12-03 00:00:00,2021-12-22 00:00:00,-19 days +00:00:00,-19
92,112197,2021-12-22T21:00:16Z,2021-12-03 00:00:00,2021-12-22 00:00:00,-19 days +00:00:00,-19
51,112197,2021-12-24T17:24:40Z,2022-02-28 08:38:24,2021-12-24 00:00:00,66 days 08:38:24,66
50,112197,2021-12-24T17:24:15Z,2022-02-27 12:28:48,2021-12-24 00:00:00,65 days 12:28:48,65
47,112197,2021-12-24T17:19:29Z,2022-02-24 03:50:24,2021-12-24 00:00:00,62 days 03:50:24,62
48,112197,2021-12-24T17:19:39Z,2022-02-25 00:00:00,2021-12-24 00:00:00,63 days 00:00:00,63
52,112197,2021-12-24T18:27:07Z,2022-03-02 21:07:12,2021-12-24 00:00:00,68 days 21:07:12,68
46,112197,2021-12-24T17:18:05Z,2022-02-27 12:28:48,2021-12-24 00:00:00,65 days 12:28:48,65
49,112197,2021-12-24T17:20:10Z,2022-02-25 00:00:00,2021-12-24 00:00:00,63 days 00:00:00,63
55,112197,2021-12-29T01:40:20Z,2022-03-04 13:26:24,2021-12-29 00:00:00,65 days 13:26:24,65
54,112197,2021-12-29T01:40:10Z,2022-03-06 05:45:36,2021-12-29 00:00:00,67 days 05:45:36,67
53,112197,2021-12-29T01:39:11Z,2022-03-03 17:16:48,2021-12-29 00:00:00,64 days 17:16:48,64
56,112197,2021-12-30T07:04:04Z,2022-03-02 21:07:12,2021-12-30 00:00:00,62 days 21:07:12,62
57,112197,2021-12-30T07:04:31Z,2022-03-05 09:36:00,2021-12-30 00:00:00,65 days 09:36:00,65
58,112197,2022-01-04T00:18:19Z,2022-03-06 05:45:36,2022-01-04 00:00:00,61 days 05:45:36,61
60,112197,2022-01-07T17:06:05Z,2022-03-08 18:14:24,2022-01-07 00:00:00,60 days 18:14:24,60
59,112197,2022-01-07T17:05:38Z,2022-03-07 01:55:12,2022-01-07 00:00:00,59 days 01:55:12,59
61,112197,2022-01-07T17:06:33Z,2022-03-09 14:24:00,2022-01-07 00:00:00,61 days 14:24:00,61
62,112197,2022-01-13T08:26:34Z,2022-03-10 10:33:36,2022-01-13 00:00:00,56 days 10:33:36,56
40,112197,2022-01-14T22:49:12Z,2022-03-21 08:38:24,2022-01-14 00:00:00,66 days 08:38:24,66
41,112197,2022-01-31T23:05:45Z,2022-03-28 01:55:12,2022-01-31 00:00:00,56 days 01:55:12,56
