decision_date,best_prior
2021-11-12,48
2021-11-16,48
2021-11-22,35
2021-11-24,44
2021-12-01,46
2021-12-02,46
2021-12-03,51
2021-12-03,53
2021-12-08,53
2021-12-09,46
2021-12-14,46
2021-12-14,53
2021-12-15,53
2021-12-18,53
2021-12-22,52
2021-12-24,53
2021-12-24,55
2021-12-24,55
2021-12-24,51
2021-12-24,52
2021-12-25,50
2021-12-27,57
2021-12-27,50
2021-12-27,50
2021-12-28,53
2021-12-29,53
2021-12-29,53
2021-12-31,46
2021-12-31,46
2022-01-03,41
2022-01-03,43
2022-01-03,43
2022-01-03,41
2022-01-04,46
2022-01-05,24
2022-01-05,43
2022-01-06,36
2022-01-07,36
2022-01-07,36
2022-01-08,24
2022-01-10,44
2022-01-10,44
2022-01-12,48
2022-01-13,38
2022-01-13,47
2022-01-14,38
2022-01-18,36
2022-01-19,36
